H Mass Fractions
H 1 Msun, Z=0.0100 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 1.433E-26 & \\ 
 & H-1       & 1.508E-02 & \\ 
 & H-2       & 2.462E-13 & \\ 
 & He-3      & 7.133E-07 & \\ 
 & He-4      & 7.210E-01 & \\ 
 & Be-7      & 5.713E-07 & \\ 
 & B-8       & 1.515E-14 & \\ 
 & Li-7      & 8.190E-11 & \\ 
 & C-11      & 1.000E-99 & \\ 
 & B-11      & 1.428E-09 & \\ 
 & C-12      & 1.912E-01 & \\ 
 & C-13      & 3.692E-02 & \\ 
 & N-13      & 5.341E-08 & \\ 
 & N-14      & 1.389E-02 & \\ 
 & C-14      & 5.437E-07 & \\ 
 & N-15      & 3.055E-07 & \\ 
 & O-16      & 1.023E-02 & \\ 
 & O-17      & 1.734E-05 & \\ 
 & O-18      & 7.320E-07 & \\ 
 & F-17      & 7.180E-13 & \\ 
 & F-18      & 1.726E-12 & \\ 
 & F-19      & 7.592E-06 & \\ 
 & Ne-20     & 8.091E-04 & \\ 
 & Ne-21     & 7.316E-07 & \\ 
 & Ne-22     & 8.664E-03 & \\ 
 & Na-22     & 1.191E-06 & \\ 
 & Na-23     & 1.240E-04 & \\ 
 & Mg-23     & 1.000E-99 & \\ 
 & Mg-24     & 3.438E-04 & \\ 
 & Mg-25     & 3.570E-05 & \\ 
 & Mg-26     & 5.837E-05 & \\ 
 & Al-26     & 6.058E-06 & \\ 
 & Al-27     & 5.987E-05 & \\ 
 & Si-27     & 3.440E-19 & \\ 
 & Si-28     & 3.726E-04 & \\ 
 & Si-29     & 1.993E-05 & \\ 
 & Si-30     & 1.513E-05 & \\ 
 & P-31      & 3.754E-06 & \\ 
 & S-31      & 1.000E-99 & \\ 
 & Be-8      & 1.000E-99 & \\ 
 & O-14      & 1.111E-15 & \\ 
 & O-15      & 1.569E-11 & \\ 
 & Na-21     & 1.792E-16 & \\ 
 & Al-25     & 1.000E-99 & \\ 
 & P-29      & 5.450E-23 & \\ 
 & P-30      & 1.183E-18 & \\ 
 & Pb-206    & 1.419E-09 & \\ 
 & Pb-207    & 1.560E-09 & \\ 
 & Bi-211    & 3.264E-31 & \\ 
 & Po-210    & 4.092E-13 & \\ 
 & F-20      & 2.209E-24 & \\ 
 & Ne-19     & 9.854E-23 & \\ 
 & Na-24     & 1.585E-12 & \\ 
 & Mg-27     & 7.725E-22 & \\ 
 & Mg-28     & 2.181E-18 & \\ 
 & Al-28     & 5.157E-21 & \\ 
 & Al-29     & 9.923E-27 & \\ 
 & Si-31     & 5.233E-16 & \\ 
 & Si-32     & 3.251E-12 & \\ 
 & P-32      & 1.507E-10 & \\ 
 & P-33      & 7.123E-11 & \\ 
 & P-34      & 3.578E-28 & \\ 
 & P-35      & 1.000E-99 & \\ 
 & S-32      & 1.983E-04 & \\ 
 & S-33      & 2.519E-06 & \\ 
 & S-34      & 9.563E-06 & \\ 
 & S-35      & 1.565E-09 & \\ 
 & S-36      & 8.748E-08 & \\ 
 & S-37      & 1.751E-25 & \\ 
 & S-38      & 3.187E-25 & \\ 
 & Cl-34     & 1.356E-23 & \\ 
 & Cl-35     & 3.244E-06 & \\ 
 & Cl-36     & 1.226E-07 & \\ 
 & Cl-37     & 2.719E-06 & \\ 
 & Cl-38     & 2.160E-19 & \\ 
 & Cl-39     & 5.609E-23 & \\ 
 & Cl-40     & 3.813E-39 & \\ 
 & Ar-35     & 1.000E-99 & \\ 
 & Ar-36     & 3.929E-05 & \\ 
 & Ar-37     & 1.471E-07 & \\ 
 & Ar-38     & 8.000E-06 & \\ 
 & Ar-39     & 4.028E-08 & \\ 
 & Ar-40     & 1.632E-08 & \\ 
 & Ar-41     & 8.543E-20 & \\ 
 & Ar-42     & 3.879E-15 & \\ 
 & Ar-43     & 2.557E-31 & \\ 
 & Ar-44     & 1.000E-99 & \\ 
 & K-38      & 6.053E-22 & \\ 
 & K-39      & 1.930E-06 & \\ 
 & K-40      & 8.105E-08 & \\ 
 & K-41      & 4.478E-07 & \\ 
 & K-42      & 3.582E-14 & \\ 
 & K-43      & 2.176E-15 & \\ 
 & K-44      & 3.003E-25 & \\ 
 & K-45      & 2.956E-29 & \\ 
 & K-46      & 1.000E-99 & \\ 
 & Ca-39     & 1.000E-99 & \\ 
 & Ca-40     & 3.511E-05 & \\ 
 & Ca-41     & 4.108E-07 & \\ 
 & Ca-42     & 3.318E-07 & \\ 
 & Ca-43     & 5.853E-08 & \\ 
 & Ca-44     & 8.400E-07 & \\ 
 & Ca-45     & 2.536E-09 & \\ 
 & Ca-46     & 1.764E-09 & \\ 
 & Ca-47     & 1.985E-14 & \\ 
 & Ca-48     & 8.330E-08 & \\ 
 & Ca-49     & 8.138E-24 & \\ 
 & Sc-43     & 9.584E-20 & \\ 
 & Sc-44     & 1.240E-20 & \\ 
 & Sc-45     & 4.462E-08 & \\ 
 & Sc-46     & 6.122E-10 & \\ 
 & Sc-47     & 1.717E-13 & \\ 
 & Sc-48     & 2.516E-16 & \\ 
 & Sc-49     & 1.629E-20 & \\ 
 & Sc-50     & 4.059E-33 & \\ 
 & Ti-44     & 1.113E-23 & \\ 
 & Ti-45     & 1.578E-29 & \\ 
 & Ti-46     & 1.586E-07 & \\ 
 & Ti-47     & 1.209E-07 & \\ 
 & Ti-48     & 1.325E-06 & \\ 
 & Ti-49     & 3.166E-07 & \\ 
 & Ti-50     & 1.378E-07 & \\ 
 & Ti-51     & 4.745E-24 & \\ 
 & Ti-52     & 2.164E-33 & \\ 
 & V-47      & 1.018E-23 & \\ 
 & V-48      & 1.116E-17 & \\ 
 & V-49      & 3.990E-16 & \\ 
 & V-50      & 3.982E-10 & \\ 
 & V-51      & 2.329E-07 & \\ 
 & V-52      & 2.014E-22 & \\ 
 & V-53      & 3.258E-31 & \\ 
 & Cr-48     & 1.853E-44 & \\ 
 & Cr-49     & 1.145E-46 & \\ 
 & Cr-50     & 3.193E-07 & \\ 
 & Cr-51     & 8.970E-09 & \\ 
 & Cr-52     & 8.122E-06 & \\ 
 & Cr-53     & 8.541E-07 & \\ 
 & Cr-54     & 5.702E-07 & \\ 
 & Cr-55     & 2.951E-23 & \\ 
 & Cr-56     & 2.059E-28 & \\ 
 & Mn-51     & 1.255E-24 & \\ 
 & Mn-52     & 1.476E-20 & \\ 
 & Mn-53     & 8.080E-17 & \\ 
 & Mn-54     & 8.390E-18 & \\ 
 & Mn-55     & 8.139E-06 & \\ 
 & Mn-56     & 1.500E-15 & \\ 
 & Mn-57     & 3.265E-28 & \\ 
 & Fe-52     & 1.000E-99 & \\ 
 & Fe-53     & 1.000E-99 & \\ 
 & Fe-54     & 3.413E-05 & \\ 
 & Fe-55     & 1.619E-06 & \\ 
 & Fe-56     & 6.416E-04 & \\ 
 & Fe-57     & 3.148E-05 & \\ 
 & Fe-58     & 7.893E-06 & \\ 
 & Fe-59     & 1.351E-08 & \\ 
 & Fe-60     & 7.575E-10 & \\ 
 & Fe-61     & 2.828E-26 & \\ 
 & Co-55     & 1.488E-20 & \\ 
 & Co-56     & 5.403E-19 & \\ 
 & Co-57     & 2.568E-16 & \\ 
 & Co-58     & 5.123E-16 & \\ 
 & Co-59     & 3.007E-06 & \\ 
 & Co-60     & 8.849E-08 & \\ 
 & Co-61     & 1.771E-17 & \\ 
 & Co-62     & 7.346E-30 & \\ 
 & Co-63     & 1.000E-99 & \\ 
 & Ni-56     & 1.000E-99 & \\ 
 & Ni-57     & 1.000E-99 & \\ 
 & Ni-58     & 2.480E-05 & \\ 
 & Ni-59     & 1.885E-06 & \\ 
 & Ni-60     & 1.091E-05 & \\ 
 & Ni-61     & 1.585E-06 & \\ 
 & Ni-62     & 1.896E-06 & \\ 
 & Ni-63     & 1.104E-07 & \\ 
 & Ni-64     & 4.652E-07 & \\ 
 & Ni-65     & 1.773E-17 & \\ 
 & Ni-66     & 1.445E-15 & \\ 
 & Ni-67     & 1.950E-32 & \\ 
 & Ni-68     & 1.000E-99 & \\ 
 & Cu-60     & 2.747E-27 & \\ 
 & Cu-61     & 7.303E-24 & \\ 
 & Cu-62     & 7.841E-28 & \\ 
 & Cu-63     & 4.379E-07 & \\ 
 & Cu-64     & 6.147E-13 & \\ 
 & Cu-65     & 2.445E-07 & \\ 
 & Cu-66     & 2.239E-18 & \\ 
 & Cu-67     & 1.927E-15 & \\ 
 & Cu-68     & 2.214E-29 & \\ 
 & Cu-69     & 9.194E-37 & \\ 
 & Cu-70     & 1.000E-99 & \\ 
 & Cu-71     & 1.000E-99 & \\ 
 & Zn-62     & 1.000E-99 & \\ 
 & Zn-63     & 1.000E-99 & \\ 
 & Zn-64     & 4.991E-07 & \\ 
 & Zn-65     & 2.397E-08 & \\ 
 & Zn-66     & 3.208E-07 & \\ 
 & Zn-67     & 6.036E-08 & \\ 
 & Zn-68     & 2.511E-07 & \\ 
 & Zn-69     & 1.083E-18 & \\ 
 & Zn-70     & 7.207E-09 & \\ 
 & Zn-71     & 7.779E-25 & \\ 
 & Zn-72     & 3.589E-18 & \\ 
 & Zn-73     & 4.284E-37 & \\ 
 & Zn-74     & 1.000E-99 & \\ 
 & Ga-65     & 3.444E-29 & \\ 
 & Ga-66     & 7.355E-27 & \\ 
 & Ga-67     & 7.868E-24 & \\ 
 & Ga-68     & 1.277E-28 & \\ 
 & Ga-69     & 3.090E-08 & \\ 
 & Ga-70     & 1.776E-20 & \\ 
 & Ga-71     & 1.771E-08 & \\ 
 & Ga-72     & 6.344E-15 & \\ 
 & Ga-73     & 5.219E-18 & \\ 
 & Ga-74     & 3.184E-27 & \\ 
 & Ga-75     & 7.073E-35 & \\ 
 & Ge-66     & 1.000E-99 & \\ 
 & Ge-67     & 1.000E-99 & \\ 
 & Ge-68     & 1.000E-99 & \\ 
 & Ge-69     & 1.000E-99 & \\ 
 & Ge-70     & 3.271E-08 & \\ 
 & Ge-71     & 7.688E-11 & \\ 
 & Ge-72     & 3.384E-08 & \\ 
 & Ge-73     & 9.551E-09 & \\ 
 & Ge-74     & 4.948E-08 & \\ 
 & Ge-75     & 1.672E-18 & \\ 
 & Ge-76     & 8.922E-09 & \\ 
 & Ge-77     & 4.740E-16 & \\ 
 & Ge-78     & 6.983E-22 & \\ 
 & As-69     & 1.000E-99 & \\ 
 & As-70     & 1.000E-99 & \\ 
 & As-71     & 4.631E-26 & \\ 
 & As-72     & 2.421E-28 & \\ 
 & As-73     & 5.373E-24 & \\ 
 & As-74     & 3.381E-24 & \\ 
 & As-75     & 5.756E-09 & \\ 
 & As-76     & 9.305E-16 & \\ 
 & As-77     & 4.045E-14 & \\ 
 & As-78     & 8.436E-21 & \\ 
 & As-79     & 1.212E-27 & \\ 
 & As-80     & 1.000E-99 & \\ 
 & As-81     & 1.000E-99 & \\ 
 & Se-72     & 1.000E-99 & \\ 
 & Se-73     & 1.000E-99 & \\ 
 & Se-74     & 2.537E-10 & \\ 
 & Se-75     & 1.834E-11 & \\ 
 & Se-76     & 9.901E-09 & \\ 
 & Se-77     & 4.783E-09 & \\ 
 & Se-78     & 2.025E-08 & \\ 
 & Se-79     & 1.432E-09 & \\ 
 & Se-80     & 3.120E-08 & \\ 
 & Se-81     & 3.283E-21 & \\ 
 & Se-82     & 6.241E-09 & \\ 
 & Se-83     & 3.154E-22 & \\ 
 & Se-84     & 8.672E-31 & \\ 
 & Br-74     & 1.000E-99 & \\ 
 & Br-75     & 2.053E-44 & \\ 
 & Br-76     & 1.000E-99 & \\ 
 & Br-77     & 1.171E-27 & \\ 
 & Br-78     & 1.748E-26 & \\ 
 & Br-79     & 2.148E-09 & \\ 
 & Br-80     & 2.918E-21 & \\ 
 & Br-81     & 6.614E-09 & \\ 
 & Br-82     & 5.063E-14 & \\ 
 & Br-83     & 8.842E-19 & \\ 
 & Br-84     & 3.214E-24 & \\ 
 & Br-85     & 1.163E-32 & \\ 
 & Br-86     & 1.000E-99 & \\ 
 & Br-87     & 1.000E-99 & \\ 
 & Kr-76     & 1.000E-99 & \\ 
 & Kr-77     & 1.000E-99 & \\ 
 & Kr-78     & 8.435E-11 & \\ 
 & Kr-79     & 6.325E-15 & \\ 
 & Kr-80     & 3.579E-09 & \\ 
 & Kr-81     & 1.352E-09 & \\ 
 & Kr-82     & 1.251E-08 & \\ 
 & Kr-83     & 5.354E-09 & \\ 
 & Kr-84     & 3.395E-08 & \\ 
 & Kr-85     & 8.492E-10 & \\ 
 & Kr-86     & 1.017E-08 & \\ 
 & Kr-87     & 2.347E-20 & \\ 
 & Kr-88     & 2.077E-22 & \\ 
 & Kr-89     & 2.880E-34 & \\ 
 & Kr-90     & 1.000E-99 & \\ 
 & Rb-79     & 1.000E-99 & \\ 
 & Rb-80     & 1.000E-99 & \\ 
 & Rb-81     & 1.258E-44 & \\ 
 & Rb-82     & 4.560E-46 & \\ 
 & Rb-83     & 9.835E-27 & \\ 
 & Rb-84     & 1.465E-43 & \\ 
 & Rb-85     & 5.792E-09 & \\ 
 & Rb-86     & 4.299E-11 & \\ 
 & Rb-87     & 2.490E-09 & \\ 
 & Rb-88     & 1.138E-22 & \\ 
 & Rb-89     & 6.959E-27 & \\ 
 & Rb-90     & 1.386E-33 & \\ 
 & Rb-91     & 1.000E-99 & \\ 
 & Sr-80     & 1.000E-99 & \\ 
 & Sr-81     & 1.000E-99 & \\ 
 & Sr-82     & 1.000E-99 & \\ 
 & Sr-83     & 1.000E-99 & \\ 
 & Sr-84     & 5.604E-11 & \\ 
 & Sr-85     & 3.167E-12 & \\ 
 & Sr-86     & 6.564E-09 & \\ 
 & Sr-87     & 2.916E-09 & \\ 
 & Sr-88     & 2.576E-08 & \\ 
 & Sr-89     & 2.488E-11 & \\ 
 & Sr-90     & 8.217E-13 & \\ 
 & Sr-91     & 3.705E-20 & \\ 
 & Sr-92     & 1.125E-24 & \\ 
 & Sr-93     & 5.476E-34 & \\ 
 & Sr-94     & 1.000E-99 & \\ 
 & Y-85      & 1.000E-99 & \\ 
 & Y-86      & 1.000E-99 & \\ 
 & Y-87      & 1.000E-99 & \\ 
 & Y-88      & 1.000E-99 & \\ 
 & Y-89      & 6.315E-09 & \\ 
 & Y-90      & 7.227E-14 & \\ 
 & Y-91      & 9.174E-13 & \\ 
 & Y-92      & 1.210E-20 & \\ 
 & Y-93      & 1.151E-20 & \\ 
 & Y-94      & 8.565E-29 & \\ 
 & Y-95      & 4.224E-33 & \\ 
 & Y-96      & 1.000E-99 & \\ 
 & Zr-86     & 1.000E-99 & \\ 
 & Zr-87     & 1.000E-99 & \\ 
 & Zr-88     & 1.000E-99 & \\ 
 & Zr-89     & 3.770E-25 & \\ 
 & Zr-90     & 7.655E-09 & \\ 
 & Zr-91     & 1.740E-09 & \\ 
 & Zr-92     & 2.777E-09 & \\ 
 & Zr-93     & 2.617E-10 & \\ 
 & Zr-94     & 2.400E-09 & \\ 
 & Zr-95     & 1.494E-11 & \\ 
 & Zr-96     & 4.297E-10 & \\ 
 & Zr-97     & 3.966E-17 & \\ 
 & Zr-98     & 4.246E-33 & \\ 
 & Nb-89     & 1.000E-99 & \\ 
 & Nb-90     & 1.000E-99 & \\ 
 & Nb-91     & 1.000E-99 & \\ 
 & Nb-92     & 1.000E-99 & \\ 
 & Nb-93     & 4.188E-10 & \\ 
 & Nb-94     & 3.139E-11 & \\ 
 & Nb-95     & 9.499E-12 & \\ 
 & Nb-96     & 1.295E-16 & \\ 
 & Nb-97     & 3.043E-18 & \\ 
 & Nb-98     & 1.498E-24 & \\ 
 & Nb-99     & 1.371E-33 & \\ 
 & Mo-90     & 1.000E-99 & \\ 
 & Mo-91     & 1.000E-99 & \\ 
 & Mo-92     & 3.642E-10 & \\ 
 & Mo-93     & 3.221E-11 & \\ 
 & Mo-94     & 6.574E-10 & \\ 
 & Mo-95     & 5.361E-10 & \\ 
 & Mo-96     & 8.790E-10 & \\ 
 & Mo-97     & 3.272E-10 & \\ 
 & Mo-98     & 9.740E-10 & \\ 
 & Mo-99     & 5.514E-14 & \\ 
 & Mo-100    & 2.381E-10 & \\ 
 & Mo-101    & 2.266E-23 & \\ 
 & Mo-102    & 1.121E-27 & \\ 
 & Tc-93     & 1.000E-99 & \\ 
 & Tc-94     & 1.000E-99 & \\ 
 & Tc-95     & 1.000E-99 & \\ 
 & Tc-96     & 1.000E-99 & \\ 
 & Tc-97     & 1.506E-11 & \\ 
 & Tc-98     & 4.969E-12 & \\ 
 & Tc-99     & 9.235E-11 & \\ 
 & Tc-100    & 3.417E-26 & \\ 
 & Tc-101    & 8.504E-23 & \\ 
 & Tc-102    & 7.337E-28 & \\ 
 & Tc-103    & 1.000E-99 & \\ 
 & Tc-104    & 3.304E-32 & \\ 
 & Tc-105    & 1.000E-99 & \\ 
 & Ru-94     & 1.000E-99 & \\ 
 & Ru-95     & 1.000E-99 & \\ 
 & Ru-96     & 7.202E-11 & \\ 
 & Ru-97     & 1.974E-14 & \\ 
 & Ru-98     & 4.340E-11 & \\ 
 & Ru-99     & 1.201E-10 & \\ 
 & Ru-100    & 5.082E-10 & \\ 
 & Ru-101    & 1.932E-10 & \\ 
 & Ru-102    & 1.025E-09 & \\ 
 & Ru-103    & 1.015E-13 & \\ 
 & Ru-104    & 2.970E-10 & \\ 
 & Ru-105    & 9.939E-19 & \\ 
 & Ru-106    & 1.511E-13 & \\ 
 & Rh-98     & 1.000E-99 & \\ 
 & Rh-99     & 1.000E-99 & \\ 
