H Mass Fractions
H 1 Msun, Z=0.0060 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 2.721E-28 & \\ 
 & Mn-53     & 2.074E-18 & \\ 
 & Mn-54     & 1.548E-18 & \\ 
 & Mn-55     & 1.373E-07 & \\ 
 & Mn-56     & 4.132E-20 & \\ 
 & Mn-57     & 1.754E-34 & \\ 
 & Fe-52     & 1.000E-99 & \\ 
 & Fe-53     & 1.000E-99 & \\ 
 & Fe-54     & 2.870E-07 & \\ 
 & Fe-55     & 8.863E-08 & \\ 
 & Fe-56     & 2.638E-05 & \\ 
 & Fe-57     & 5.452E-06 & \\ 
 & Fe-58     & 1.947E-05 & \\ 
 & Fe-59     & 1.077E-06 & \\ 
 & Fe-60     & 1.580E-05 & \\ 
 & Fe-61     & 3.397E-24 & \\ 
 & Co-55     & 3.208E-27 & \\ 
 & Co-56     & 6.141E-22 & \\ 
 & Co-57     & 6.575E-18 & \\ 
 & Co-58     & 1.357E-17 & \\ 
 & Co-59     & 7.973E-06 & \\ 
 & Co-60     & 6.237E-07 & \\ 
 & Co-61     & 3.664E-19 & \\ 
 & Co-62     & 5.982E-33 & \\ 
 & Co-63     & 1.581E-41 & \\ 
 & Ni-56     & 1.000E-99 & \\ 
 & Ni-57     & 1.000E-99 & \\ 
 & Ni-58     & 2.088E-07 & \\ 
 & Ni-59     & 4.597E-08 & \\ 
 & Ni-60     & 5.182E-07 & \\ 
 & Ni-61     & 1.634E-06 & \\ 
 & Ni-62     & 3.512E-06 & \\ 
 & Ni-63     & 3.031E-06 & \\ 
 & Ni-64     & 6.126E-06 & \\ 
 & Ni-65     & 7.479E-19 & \\ 
 & Ni-66     & 7.056E-13 & \\ 
 & Ni-67     & 1.903E-30 & \\ 
 & Ni-68     & 2.510E-56 & \\ 
 & Cu-60     & 7.761E-37 & \\ 
 & Cu-61     & 6.457E-31 & \\ 
 & Cu-62     & 3.940E-36 & \\ 
 & Cu-63     & 2.563E-08 & \\ 
 & Cu-64     & 2.519E-16 & \\ 
 & Cu-65     & 1.394E-06 & \\ 
 & Cu-66     & 1.093E-15 & \\ 
 & Cu-67     & 2.612E-13 & \\ 
 & Cu-68     & 9.396E-29 & \\ 
 & Cu-69     & 2.893E-31 & \\ 
 & Cu-70     & 5.143E-40 & \\ 
 & Cu-71     & 3.866E-56 & \\ 
 & Zn-62     & 1.000E-99 & \\ 
 & Zn-63     & 1.000E-99 & \\ 
 & Zn-64     & 1.598E-08 & \\ 
 & Zn-65     & 3.096E-09 & \\ 
 & Zn-66     & 9.518E-07 & \\ 
 & Zn-67     & 2.075E-07 & \\ 
 & Zn-68     & 9.902E-07 & \\ 
 & Zn-69     & 3.206E-21 & \\ 
 & Zn-70     & 7.797E-08 & \\ 
