H Mass Fractions
H 2 Msun, Z=0.0060 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 1.000E-99 & \\ 
 & H-1       & 6.900E-01 & \\ 
 & H-2       & 3.209E-06 & \\ 
 & He-3      & 2.601E-04 & \\ 
 & He-4      & 2.809E-01 & \\ 
 & Be-7      & 4.329E-11 & \\ 
 & B-8       & 5.246E-28 & \\ 
 & Li-7      & 2.390E-12 & \\ 
 & C-11      & 1.000E-99 & \\ 
 & B-11      & 1.715E-10 & \\ 
 & C-12      & 1.591E-02 & \\ 
 & C-13      & 1.837E-05 & \\ 
 & N-13      & 7.997E-22 & \\ 
 & N-14      & 5.792E-04 & \\ 
 & C-14      & 3.793E-08 & \\ 
 & N-15      & 1.264E-07 & \\ 
 & O-16      & 1.080E-02 & \\ 
 & O-17      & 1.258E-05 & \\ 
 & O-18      & 8.894E-07 & \\ 
 & F-17      & 1.000E-99 & \\ 
 & F-18      & 1.000E-99 & \\ 
 & F-19      & 1.789E-06 & \\ 
 & Ne-20     & 3.705E-04 & \\ 
 & Ne-21     & 5.921E-07 & \\ 
 & Ne-22     & 7.284E-04 & \\ 
 & Na-22     & 2.134E-19 & \\ 
 & Na-23     & 8.685E-06 & \\ 
 & Mg-23     & 1.000E-99 & \\ 
 & Mg-24     & 9.475E-05 & \\ 
 & Mg-25     & 1.776E-05 & \\ 
 & Mg-26     & 3.737E-05 & \\ 
 & Al-26     & 1.551E-08 & \\ 
 & Al-27     & 4.273E-06 & \\ 
 & Si-27     & 1.000E-99 & \\ 
 & Si-28     & 9.059E-05 & \\ 
 & Si-29     & 2.515E-06 & \\ 
 & Si-30     & 2.210E-06 & \\ 
 & P-31      & 5.508E-07 & \\ 
 & S-31      & 1.000E-99 & \\ 
 & Be-8      & 1.000E-99 & \\ 
 & O-14      & 1.000E-99 & \\ 
 & O-15      & 1.081E-25 & \\ 
 & Na-21     & 1.000E-99 & \\ 
 & Al-25     & 1.000E-99 & \\ 
 & P-29      & 1.000E-99 & \\ 
 & P-30      & 1.000E-99 & \\ 
 & Pb-206    & 8.861E-10 & \\ 
 & Pb-207    & 1.157E-09 & \\ 
 & Bi-211    & 1.000E-99 & \\ 
 & Po-210    & 9.053E-21 & \\ 
 & F-20      & 1.000E-99 & \\ 
 & Ne-19     & 1.000E-99 & \\ 
 & Na-24     & 1.000E-99 & \\ 
 & Mg-27     & 1.000E-99 & \\ 
 & Mg-28     & 1.000E-99 & \\ 
 & Al-28     & 1.000E-99 & \\ 
 & Al-29     & 1.000E-99 & \\ 
 & Si-31     & 1.000E-99 & \\ 
 & Si-32     & 4.299E-12 & \\ 
 & P-32      & 9.762E-16 & \\ 
 & P-33      & 1.000E-99 & \\ 
 & P-34      & 1.000E-99 & \\ 
 & P-35      & 1.000E-99 & \\ 
 & S-32      & 6.494E-05 & \\ 
 & S-33      & 2.359E-07 & \\ 
 & S-34      & 1.226E-06 & \\ 
 & S-35      & 1.000E-99 & \\ 
 & S-36      & 1.352E-08 & \\ 
 & S-37      & 1.000E-99 & \\ 
 & S-38      & 1.000E-99 & \\ 
 & Cl-34     & 1.000E-99 & \\ 
 & Cl-35     & 4.023E-07 & \\ 
 & Cl-36     & 7.034E-10 & \\ 
 & Cl-37     & 2.539E-07 & \\ 
 & Cl-38     & 1.000E-99 & \\ 
 & Cl-39     & 1.000E-99 & \\ 
 & Cl-40     & 1.000E-99 & \\ 
 & Ar-35     & 1.000E-99 & \\ 
 & Ar-36     & 9.635E-06 & \\ 
 & Ar-37     & 5.817E-12 & \\ 
 & Ar-38     & 1.017E-06 & \\ 
 & Ar-39     & 2.725E-09 & \\ 
 & Ar-40     & 5.771E-09 & \\ 
 & Ar-41     & 1.000E-99 & \\ 
 & Ar-42     & 1.744E-16 & \\ 
 & Ar-43     & 1.000E-99 & \\ 
 & Ar-44     & 1.000E-99 & \\ 
 & K-38      & 1.000E-99 & \\ 
 & K-39      & 2.427E-07 & \\ 
 & K-40      & 2.196E-09 & \\ 
 & K-41      & 2.235E-08 & \\ 
 & K-42      & 7.631E-21 & \\ 
 & K-43      & 1.000E-99 & \\ 
 & K-44      & 1.000E-99 & \\ 
 & K-45      & 1.000E-99 & \\ 
 & K-46      & 1.000E-99 & \\ 
 & Ca-39     & 1.000E-99 & \\ 
 & Ca-40     & 7.124E-06 & \\ 
 & Ca-41     & 4.800E-09 & \\ 
 & Ca-42     & 4.147E-08 & \\ 
 & Ca-43     & 9.206E-09 & \\ 
 & Ca-44     & 1.101E-07 & \\ 
 & Ca-45     & 1.000E-99 & \\ 
 & Ca-46     & 6.215E-10 & \\ 
 & Ca-47     & 1.000E-99 & \\ 
 & Ca-48     & 1.001E-08 & \\ 
 & Ca-49     & 1.000E-99 & \\ 
 & Sc-43     & 1.000E-99 & \\ 
 & Sc-44     & 1.000E-99 & \\ 
 & Sc-45     & 4.881E-09 & \\ 
 & Sc-46     & 1.000E-99 & \\ 
 & Sc-47     & 1.000E-99 & \\ 
 & Sc-48     & 1.000E-99 & \\ 
 & Sc-49     & 1.000E-99 & \\ 
 & Sc-50     & 1.000E-99 & \\ 
 & Ti-44     & 1.151E-26 & \\ 
 & Ti-45     & 1.000E-99 & \\ 
 & Ti-46     & 2.112E-08 & \\ 
 & Ti-47     & 1.817E-08 & \\ 
 & Ti-48     & 3.140E-07 & \\ 
 & Ti-49     & 1.798E-08 & \\ 
 & Ti-50     & 2.231E-08 & \\ 
 & Ti-51     & 1.000E-99 & \\ 
 & Ti-52     & 1.000E-99 & \\ 
 & V-47      & 1.000E-99 & \\ 
 & V-48      & 1.000E-99 & \\ 
 & V-49      & 3.748E-20 & \\ 
 & V-50      & 5.892E-11 & \\ 
 & V-51      & 2.476E-08 & \\ 
 & V-52      & 1.000E-99 & \\ 
 & V-53      & 1.000E-99 & \\ 
 & Cr-48     & 1.000E-99 & \\ 
 & Cr-49     & 1.000E-99 & \\ 
 & Cr-50     & 4.795E-08 & \\ 
 & Cr-51     & 3.098E-14 & \\ 
 & Cr-52     & 9.808E-07 & \\ 
 & Cr-53     & 1.135E-07 & \\ 
 & Cr-54     & 4.170E-08 & \\ 
 & Cr-55     & 1.000E-99 & \\ 
 & Cr-56     & 1.000E-99 & \\ 
 & Mn-51     & 1.000E-99 & \\ 
 & Mn-52     & 1.000E-99 & \\ 
 & Mn-53     & 4.778E-20 & \\ 
 & Mn-54     & 1.415E-20 & \\ 
 & Mn-55     & 6.474E-07 & \\ 
 & Mn-56     & 1.000E-99 & \\ 
 & Mn-57     & 1.000E-99 & \\ 
 & Fe-52     & 1.000E-99 & \\ 
 & Fe-53     & 1.000E-99 & \\ 
 & Fe-54     & 4.723E-06 & \\ 
 & Fe-55     & 1.189E-08 & \\ 
 & Fe-56     & 7.788E-05 & \\ 
 & Fe-57     & 2.108E-06 & \\ 
 & Fe-58     & 8.899E-07 & \\ 
 & Fe-59     & 1.000E-99 & \\ 
 & Fe-60     & 2.376E-08 & \\ 
 & Fe-61     & 1.000E-99 & \\ 
 & Co-55     & 1.000E-99 & \\ 
 & Co-56     & 1.000E-99 & \\ 
 & Co-57     & 1.322E-19 & \\ 
 & Co-58     & 1.000E-99 & \\ 
 & Co-59     & 4.080E-07 & \\ 
 & Co-60     & 1.570E-18 & \\ 
 & Co-61     & 1.000E-99 & \\ 
 & Co-62     & 1.000E-99 & \\ 
 & Co-63     & 1.000E-99 & \\ 
 & Ni-56     & 1.000E-99 & \\ 
 & Ni-57     & 1.000E-99 & \\ 
 & Ni-58     & 3.321E-06 & \\ 
 & Ni-59     & 8.311E-09 & \\ 
 & Ni-60     & 1.490E-06 & \\ 
 & Ni-61     & 1.304E-07 & \\ 
 & Ni-62     & 3.481E-07 & \\ 
 & Ni-63     & 1.128E-08 & \\ 
 & Ni-64     & 1.775E-07 & \\ 
 & Ni-65     & 1.000E-99 & \\ 
 & Ni-66     & 1.000E-99 & \\ 
 & Ni-67     & 1.000E-99 & \\ 
 & Ni-68     & 1.000E-99 & \\ 
 & Cu-60     & 1.000E-99 & \\ 
 & Cu-61     & 1.000E-99 & \\ 
 & Cu-62     & 1.000E-99 & \\ 
 & Cu-63     & 1.218E-07 & \\ 
 & Cu-64     & 1.000E-99 & \\ 
 & Cu-65     & 6.629E-08 & \\ 
 & Cu-66     & 1.000E-99 & \\ 
 & Cu-67     & 1.000E-99 & \\ 
 & Cu-68     & 1.000E-99 & \\ 
 & Cu-69     & 1.000E-99 & \\ 
 & Cu-70     & 1.000E-99 & \\ 
 & Cu-71     & 1.000E-99 & \\ 
 & Zn-62     & 1.000E-99 & \\ 
 & Zn-63     & 1.000E-99 & \\ 
 & Zn-64     & 8.712E-08 & \\ 
 & Zn-65     & 7.902E-11 & \\ 
 & Zn-66     & 8.305E-08 & \\ 
 & Zn-67     & 1.521E-08 & \\ 
 & Zn-68     & 7.304E-08 & \\ 
 & Zn-69     & 1.000E-99 & \\ 
 & Zn-70     & 9.561E-10 & \\ 
 & Zn-71     & 1.000E-99 & \\ 
 & Zn-72     & 1.000E-99 & \\ 
 & Zn-73     & 1.000E-99 & \\ 
 & Zn-74     & 1.000E-99 & \\ 
 & Ga-65     & 1.000E-99 & \\ 
 & Ga-66     & 1.000E-99 & \\ 
 & Ga-67     & 1.000E-99 & \\ 
 & Ga-68     & 1.000E-99 & \\ 
 & Ga-69     & 8.981E-09 & \\ 
 & Ga-70     & 1.000E-99 & \\ 
 & Ga-71     & 6.435E-09 & \\ 
 & Ga-72     & 1.000E-99 & \\ 
 & Ga-73     & 1.000E-99 & \\ 
 & Ga-74     & 1.000E-99 & \\ 
 & Ga-75     & 1.000E-99 & \\ 
 & Ge-66     & 1.000E-99 & \\ 
 & Ge-67     & 1.000E-99 & \\ 
 & Ge-68     & 1.000E-99 & \\ 
 & Ge-69     & 1.000E-99 & \\ 
 & Ge-70     & 1.209E-08 & \\ 
 & Ge-71     & 1.000E-99 & \\ 
 & Ge-72     & 1.270E-08 & \\ 
 & Ge-73     & 3.603E-09 & \\ 
 & Ge-74     & 1.781E-08 & \\ 
 & Ge-75     & 1.000E-99 & \\ 
 & Ge-76     & 1.174E-09 & \\ 
 & Ge-77     & 1.000E-99 & \\ 
 & Ge-78     & 1.000E-99 & \\ 
 & As-69     & 1.000E-99 & \\ 
 & As-70     & 1.000E-99 & \\ 
 & As-71     & 1.000E-99 & \\ 
 & As-72     & 1.000E-99 & \\ 
 & As-73     & 1.000E-99 & \\ 
 & As-74     & 8.383E-26 & \\ 
 & As-75     & 2.062E-09 & \\ 
 & As-76     & 1.000E-99 & \\ 
 & As-77     & 1.000E-99 & \\ 
 & As-78     & 1.000E-99 & \\ 
 & As-79     & 1.000E-99 & \\ 
 & As-80     & 1.000E-99 & \\ 
 & As-81     & 1.000E-99 & \\ 
 & Se-72     & 1.000E-99 & \\ 
 & Se-73     & 1.000E-99 & \\ 
 & Se-74     & 6.922E-11 & \\ 
 & Se-75     & 1.000E-99 & \\ 
 & Se-76     & 3.385E-09 & \\ 
 & Se-77     & 1.635E-09 & \\ 
 & Se-78     & 7.724E-09 & \\ 
 & Se-79     & 1.074E-09 & \\ 
 & Se-80     & 9.025E-09 & \\ 
 & Se-81     & 1.000E-99 & \\ 
 & Se-82     & 7.705E-10 & \\ 
 & Se-83     & 1.000E-99 & \\ 
 & Se-84     & 1.000E-99 & \\ 
 & Br-74     & 1.000E-99 & \\ 
 & Br-75     & 1.000E-99 & \\ 
 & Br-76     & 1.000E-99 & \\ 
 & Br-77     & 1.000E-99 & \\ 
 & Br-78     & 1.000E-99 & \\ 
 & Br-79     & 9.127E-10 & \\ 
 & Br-80     & 1.000E-99 & \\ 
 & Br-81     & 1.612E-09 & \\ 
 & Br-82     & 1.000E-99 & \\ 
 & Br-83     & 1.000E-99 & \\ 
 & Br-84     & 1.000E-99 & \\ 
 & Br-85     & 1.000E-99 & \\ 
 & Br-86     & 1.000E-99 & \\ 
 & Br-87     & 1.000E-99 & \\ 
 & Kr-76     & 1.000E-99 & \\ 
 & Kr-77     & 1.000E-99 & \\ 
 & Kr-78     & 2.254E-11 & \\ 
 & Kr-79     & 1.000E-99 & \\ 
 & Kr-80     & 2.395E-10 & \\ 
 & Kr-81     & 4.076E-11 & \\ 
 & Kr-82     & 2.916E-09 & \\ 
 & Kr-83     & 1.541E-09 & \\ 
 & Kr-84     & 8.400E-09 & \\ 
 & Kr-85     & 1.772E-15 & \\ 
 & Kr-86     & 2.946E-09 & \\ 
 & Kr-87     & 1.000E-99 & \\ 
 & Kr-88     & 1.000E-99 & \\ 
 & Kr-89     & 1.000E-99 & \\ 
 & Kr-90     & 1.000E-99 & \\ 
 & Rb-79     & 1.000E-99 & \\ 
 & Rb-80     & 1.000E-99 & \\ 
 & Rb-81     & 1.000E-99 & \\ 
 & Rb-82     & 1.000E-99 & \\ 
 & Rb-83     & 1.000E-99 & \\ 
 & Rb-84     & 5.848E-28 & \\ 
 & Rb-85     & 1.983E-09 & \\ 
 & Rb-86     & 1.000E-99 & \\ 
 & Rb-87     & 1.108E-09 & \\ 
 & Rb-88     & 1.000E-99 & \\ 
 & Rb-89     & 1.000E-99 & \\ 
 & Rb-90     & 1.000E-99 & \\ 
 & Rb-91     & 1.000E-99 & \\ 
 & Sr-80     & 1.000E-99 & \\ 
 & Sr-81     & 1.000E-99 & \\ 
 & Sr-82     & 1.000E-99 & \\ 
 & Sr-83     & 1.000E-99 & \\ 
 & Sr-84     & 1.865E-11 & \\ 
 & Sr-85     & 1.000E-99 & \\ 
 & Sr-86     & 1.394E-09 & \\ 
 & Sr-87     & 8.731E-10 & \\ 
 & Sr-88     & 7.437E-09 & \\ 
 & Sr-89     & 1.000E-99 & \\ 
 & Sr-90     & 7.642E-14 & \\ 
 & Sr-91     & 1.000E-99 & \\ 
 & Sr-92     & 1.000E-99 & \\ 
 & Sr-93     & 1.000E-99 & \\ 
 & Sr-94     & 1.000E-99 & \\ 
 & Y-85      & 1.000E-99 & \\ 
 & Y-86      & 1.000E-99 & \\ 
 & Y-87      & 1.000E-99 & \\ 
 & Y-88      & 1.000E-99 & \\ 
 & Y-89      & 1.720E-09 & \\ 
 & Y-90      & 1.944E-17 & \\ 
 & Y-91      & 1.000E-99 & \\ 
 & Y-92      & 1.000E-99 & \\ 
 & Y-93      & 1.000E-99 & \\ 
 & Y-94      & 1.000E-99 & \\ 
 & Y-95      & 1.000E-99 & \\ 
 & Y-96      & 1.000E-99 & \\ 
 & Zr-86     & 1.000E-99 & \\ 
 & Zr-87     & 1.000E-99 & \\ 
 & Zr-88     & 1.000E-99 & \\ 
 & Zr-89     & 1.000E-99 & \\ 
 & Zr-90     & 1.616E-09 & \\ 
 & Zr-91     & 3.994E-10 & \\ 
 & Zr-92     & 6.747E-10 & \\ 
 & Zr-93     & 1.035E-10 & \\ 
 & Zr-94     & 5.769E-10 & \\ 
 & Zr-95     & 1.000E-99 & \\ 
 & Zr-96     & 1.289E-10 & \\ 
 & Zr-97     & 1.000E-99 & \\ 
 & Zr-98     & 1.000E-99 & \\ 
 & Nb-89     & 1.000E-99 & \\ 
 & Nb-90     & 1.000E-99 & \\ 
 & Nb-91     & 1.000E-99 & \\ 
 & Nb-92     & 1.000E-99 & \\ 
 & Nb-93     & 1.099E-10 & \\ 
 & Nb-94     & 1.023E-15 & \\ 
 & Nb-95     & 1.000E-99 & \\ 
 & Nb-96     & 1.000E-99 & \\ 
 & Nb-97     & 1.000E-99 & \\ 
 & Nb-98     & 1.000E-99 & \\ 
 & Nb-99     & 1.000E-99 & \\ 
 & Mo-90     & 1.000E-99 & \\ 
 & Mo-91     & 1.000E-99 & \\ 
 & Mo-92     & 5.866E-11 & \\ 
 & Mo-93     & 3.525E-14 & \\ 
 & Mo-94     & 3.825E-11 & \\ 
 & Mo-95     & 1.067E-10 & \\ 
 & Mo-96     & 1.374E-10 & \\ 
 & Mo-97     & 6.338E-11 & \\ 
 & Mo-98     & 1.812E-10 & \\ 
 & Mo-99     & 1.000E-99 & \\ 
 & Mo-100    & 4.705E-11 & \\ 
 & Mo-101    & 1.000E-99 & \\ 
 & Mo-102    & 1.000E-99 & \\ 
 & Tc-93     & 1.000E-99 & \\ 
 & Tc-94     & 1.000E-99 & \\ 
 & Tc-95     & 1.000E-99 & \\ 
 & Tc-96     & 1.000E-99 & \\ 
 & Tc-97     & 2.052E-15 & \\ 
 & Tc-98     & 6.382E-16 & \\ 
 & Tc-99     & 1.069E-11 & \\ 
 & Tc-100    & 1.000E-99 & \\ 
 & Tc-101    & 1.000E-99 & \\ 
 & Tc-102    & 1.000E-99 & \\ 
 & Tc-103    & 1.000E-99 & \\ 
 & Tc-104    & 1.000E-99 & \\ 
 & Tc-105    & 1.000E-99 & \\ 
 & Ru-94     & 1.000E-99 & \\ 
 & Ru-95     & 1.000E-99 & \\ 
 & Ru-96     & 1.691E-11 & \\ 
 & Ru-97     & 1.000E-99 & \\ 
 & Ru-98     & 5.832E-12 & \\ 
 & Ru-99     & 4.034E-11 & \\ 
 & Ru-100    & 7.700E-11 & \\ 
 & Ru-101    & 6.327E-11 & \\ 
 & Ru-102    & 1.557E-10 & \\ 
 & Ru-103    & 1.000E-99 & \\ 
 & Ru-104    & 6.555E-11 & \\ 
 & Ru-105    & 1.000E-99 & \\ 
 & Ru-106    & 1.000E-99 & \\ 
 & Rh-98     & 1.000E-99 & \\ 
 & Rh-99     & 1.000E-99 & \\ 
 & Rh-100    & 1.000E-99 & \\ 
 & Rh-101    & 1.000E-99 & \\ 
 & Rh-102    & 1.000E-99 & \\ 
 & Rh-103    & 7.056E-11 & \\ 
 & Rh-104    & 1.000E-99 & \\ 
 & Rh-105    & 1.000E-99 & \\ 
 & Rh-106    & 1.000E-99 & \\ 
 & Rh-107    & 1.000E-99 & \\ 
 & Rh-108    & 1.000E-99 & \\ 
 & Pd-99     & 1.000E-99 & \\ 
 & Pd-100    & 1.000E-99 & \\ 
 & Pd-101    & 1.000E-99 & \\ 
 & Pd-102    & 2.450E-12 & \\ 
 & Pd-103    & 1.000E-99 & \\ 
 & Pd-104    & 5.457E-11 & \\ 
 & Pd-105    & 6.275E-11 & \\ 
 & Pd-106    & 1.019E-10 & \\ 
 & Pd-107    & 6.624E-12 & \\ 
 & Pd-108    & 1.094E-10 & \\ 
 & Pd-109    & 1.000E-99 & \\ 
 & Pd-110    & 3.398E-11 & \\ 
 & Pd-111    & 1.000E-99 & \\ 
 & Pd-112    & 1.000E-99 & \\ 
 & Ag-101    & 1.000E-99 & \\ 
 & Ag-102    & 1.000E-99 & \\ 
 & Ag-103    & 1.000E-99 & \\ 
 & Ag-104    & 1.000E-99 & \\ 
 & Ag-105    & 1.000E-99 & \\ 
 & Ag-106    & 1.000E-99 & \\ 
 & Ag-107    & 4.530E-11 & \\ 
 & Ag-108    & 1.000E-99 & \\ 
 & Ag-109    & 5.507E-11 & \\ 
 & Ag-110    & 1.000E-99 & \\ 
 & Ag-111    & 1.000E-99 & \\ 
 & Ag-112    & 1.000E-99 & \\ 
 & Ag-113    & 1.000E-99 & \\ 
 & Cd-102    & 1.000E-99 & \\ 
 & Cd-103    & 1.000E-99 & \\ 
 & Cd-104    & 1.000E-99 & \\ 
 & Cd-105    & 1.000E-99 & \\ 
 & Cd-106    & 3.667E-12 & \\ 
 & Cd-107    & 1.000E-99 & \\ 
 & Cd-108    & 2.695E-12 & \\ 
 & Cd-109    & 1.000E-99 & \\ 
 & Cd-110    & 7.237E-11 & \\ 
 & Cd-111    & 5.139E-11 & \\ 
 & Cd-112    & 1.208E-10 & \\ 
 & Cd-113    & 5.171E-11 & \\ 
 & Cd-114    & 1.583E-10 & \\ 
