H Mass Fractions
H 1 Msun, Z=0.0200 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 1.000E-99 & \\ 
 & H-1       & 6.859E-01 & \\ 
 & H-2       & 7.075E-06 & \\ 
 & He-3      & 3.342E-04 & \\ 
 & He-4      & 2.937E-01 & \\ 
 & Be-7      & 1.346E-11 & \\ 
 & B-8       & 4.138E-28 & \\ 
 & Li-7      & 4.005E-11 & \\ 
 & C-11      & 1.000E-99 & \\ 
 & B-11      & 2.856E-09 & \\ 
 & C-12      & 2.944E-03 & \\ 
 & C-13      & 1.024E-04 & \\ 
 & N-13      & 7.117E-21 & \\ 
 & N-14      & 1.576E-03 & \\ 
 & C-14      & 1.834E-21 & \\ 
 & N-15      & 3.039E-06 & \\ 
 & O-16      & 9.602E-03 & \\ 
 & O-17      & 3.944E-06 & \\ 
 & O-18      & 2.048E-05 & \\ 
 & F-17      & 1.000E-99 & \\ 
 & F-18      & 1.000E-99 & \\ 
 & F-19      & 5.590E-07 & \\ 
 & Ne-20     & 1.818E-03 & \\ 
 & Ne-21     & 4.565E-06 & \\ 
 & Ne-22     & 1.466E-04 & \\ 
 & Na-22     & 1.283E-24 & \\ 
 & Na-23     & 4.049E-05 & \\ 
 & Mg-23     & 1.000E-99 & \\ 
 & Mg-24     & 5.863E-04 & \\ 
 & Mg-25     & 7.722E-05 & \\ 
 & Mg-26     & 8.853E-05 & \\ 
 & Al-26     & 5.916E-08 & \\ 
 & Al-27     & 6.482E-05 & \\ 
 & Si-27     & 1.000E-99 & \\ 
 & Si-28     & 7.453E-04 & \\ 
 & Si-29     & 3.919E-05 & \\ 
 & Si-30     & 2.673E-05 & \\ 
 & P-31      & 7.106E-06 & \\ 
 & S-31      & 1.000E-99 & \\ 
 & Be-8      & 1.000E-99 & \\ 
 & O-14      & 1.000E-99 & \\ 
 & O-15      & 1.065E-24 & \\ 
 & Na-21     & 1.000E-99 & \\ 
 & Al-25     & 1.000E-99 & \\ 
 & P-29      & 1.000E-99 & \\ 
 & P-30      & 1.000E-99 & \\ 
 & Pb-206    & 2.798E-09 & \\ 
 & Pb-207    & 3.090E-09 & \\ 
 & Bi-211    & 1.000E-99 & \\ 
 & Po-210    & 1.000E-99 & \\ 
 & F-20      & 1.000E-99 & \\ 
 & Ne-19     & 1.000E-99 & \\ 
 & Na-24     & 1.000E-99 & \\ 
 & Mg-27     & 1.000E-99 & \\ 
 & Mg-28     & 1.000E-99 & \\ 
 & Al-28     & 1.000E-99 & \\ 
 & Al-29     & 1.000E-99 & \\ 
 & Si-31     & 1.000E-99 & \\ 
 & Si-32     & 1.000E-99 & \\ 
 & P-32      & 1.000E-99 & \\ 
 & P-33      & 1.000E-99 & \\ 
 & P-34      & 1.000E-99 & \\ 
 & P-35      & 1.000E-99 & \\ 
 & S-32      & 4.011E-04 & \\ 
 & S-33      & 3.265E-06 & \\ 
 & S-34      & 1.890E-05 & \\ 
 & S-35      & 1.000E-99 & \\ 
 & S-36      & 8.073E-08 & \\ 
 & S-37      & 1.000E-99 & \\ 
 & S-38      & 1.000E-99 & \\ 
 & Cl-34     & 1.000E-99 & \\ 
 & Cl-35     & 6.821E-06 & \\ 
 & Cl-36     & 1.832E-20 & \\ 
 & Cl-37     & 2.306E-06 & \\ 
 & Cl-38     & 1.000E-99 & \\ 
 & Cl-39     & 1.000E-99 & \\ 
 & Cl-40     & 1.000E-99 & \\ 
 & Ar-35     & 1.000E-99 & \\ 
 & Ar-36     & 8.202E-05 & \\ 
 & Ar-37     & 5.568E-22 & \\ 
 & Ar-38     & 1.574E-05 & \\ 
 & Ar-39     & 5.326E-21 & \\ 
 & Ar-40     & 2.650E-08 & \\ 
 & Ar-41     & 1.000E-99 & \\ 
 & Ar-42     & 1.000E-99 & \\ 
 & Ar-43     & 1.000E-99 & \\ 
 & Ar-44     & 1.000E-99 & \\ 
 & K-38      & 1.000E-99 & \\ 
 & K-39      & 3.900E-06 & \\ 
 & K-40      & 3.273E-10 & \\ 
 & K-41      & 2.959E-07 & \\ 
 & K-42      & 1.000E-99 & \\ 
 & K-43      & 1.000E-99 & \\ 
 & K-44      & 1.000E-99 & \\ 
 & K-45      & 1.000E-99 & \\ 
 & K-46      & 1.000E-99 & \\ 
 & Ca-39     & 1.000E-99 & \\ 
 & Ca-40     & 7.225E-05 & \\ 
 & Ca-41     & 8.354E-20 & \\ 
 & Ca-42     & 5.063E-07 & \\ 
 & Ca-43     & 1.082E-07 & \\ 
 & Ca-44     & 1.710E-06 & \\ 
 & Ca-45     & 1.000E-99 & \\ 
 & Ca-46     & 3.428E-09 & \\ 
 & Ca-47     & 1.000E-99 & \\ 
 & Ca-48     & 1.672E-07 & \\ 
 & Ca-49     & 1.000E-99 & \\ 
 & Sc-43     & 1.000E-99 & \\ 
 & Sc-44     & 1.000E-99 & \\ 
 & Sc-45     & 5.414E-08 & \\ 
 & Sc-46     & 1.000E-99 & \\ 
 & Sc-47     & 1.000E-99 & \\ 
 & Sc-48     & 1.000E-99 & \\ 
 & Sc-49     & 1.000E-99 & \\ 
 & Sc-50     & 1.000E-99 & \\ 
 & Ti-44     & 1.000E-99 & \\ 
 & Ti-45     & 1.000E-99 & \\ 
 & Ti-46     & 3.232E-07 & \\ 
 & Ti-47     & 2.977E-07 & \\ 
 & Ti-48     & 3.014E-06 & \\ 
 & Ti-49     & 2.257E-07 & \\ 
 & Ti-50     & 2.208E-07 & \\ 
 & Ti-51     & 1.000E-99 & \\ 
 & Ti-52     & 1.000E-99 & \\ 
 & V-47      & 1.000E-99 & \\ 
 & V-48      & 1.000E-99 & \\ 
