H Mass Fractions
H 3 Msun, Z=0.0060 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 1.000E-99 & \\ 
 & H-1       & 6.989E-01 & \\ 
 & H-2       & 8.242E-18 & \\ 
 & He-3      & 1.452E-04 & \\ 
 & He-4      & 2.801E-01 & \\ 
 & Be-7      & 1.000E-99 & \\ 
 & B-8       & 1.000E-99 & \\ 
 & Li-7      & 2.687E-11 & \\ 
 & C-11      & 1.000E-99 & \\ 
 & B-11      & 1.715E-10 & \\ 
 & C-12      & 1.067E-02 & \\ 
 & C-13      & 1.806E-05 & \\ 
 & N-13      & 1.000E-99 & \\ 
 & N-14      & 7.402E-04 & \\ 
 & C-14      & 5.323E-08 & \\ 
 & N-15      & 1.189E-07 & \\ 
 & O-16      & 8.166E-03 & \\ 
 & O-17      & 8.004E-06 & \\ 
 & O-18      & 8.634E-07 & \\ 
 & F-17      & 1.000E-99 & \\ 
 & F-18      & 1.000E-99 & \\ 
 & F-19      & 7.237E-07 & \\ 
 & Ne-20     & 3.830E-04 & \\ 
 & Ne-21     & 9.762E-07 & \\ 
 & Ne-22     & 3.194E-04 & \\ 
 & Na-22     & 1.000E-99 & \\ 
 & Na-23     & 6.321E-06 & \\ 
 & Mg-23     & 1.000E-99 & \\ 
 & Mg-24     & 9.199E-05 & \\ 
 & Mg-25     & 2.392E-05 & \\ 
 & Mg-26     & 6.177E-05 & \\ 
 & Al-26     & 1.340E-08 & \\ 
 & Al-27     & 4.803E-06 & \\ 
 & Si-27     & 1.000E-99 & \\ 
 & Si-28     & 9.083E-05 & \\ 
 & Si-29     & 2.544E-06 & \\ 
 & Si-30     & 2.311E-06 & \\ 
 & P-31      & 6.219E-07 & \\ 
 & S-31      & 1.000E-99 & \\ 
 & Li-6      & 3.888E-11 & \\ 
 & Be-8      & 1.000E-99 & \\ 
 & O-14      & 6.591E-39 & \\ 
 & O-15      & 1.000E-99 & \\ 
 & Na-21     & 1.000E-99 & \\ 
 & Al-25     & 1.000E-99 & \\ 
 & P-29      & 1.000E-99 & \\ 
 & P-30      & 1.000E-99 & \\ 
 & Pb-206    & 9.492E-10 & \\ 
 & Pb-207    & 1.250E-09 & \\ 
 & Bi-211    & 1.000E-99 & \\ 
 & Po-210    & 5.020E-18 & \\ 
 & F-20      & 1.000E-99 & \\ 
 & Ne-19     & 1.000E-99 & \\ 
 & Na-24     & 1.000E-99 & \\ 
 & Mg-27     & 1.000E-99 & \\ 
 & Mg-28     & 1.000E-99 & \\ 
 & Al-28     & 1.000E-99 & \\ 
 & Al-29     & 1.000E-99 & \\ 
 & Si-31     & 1.000E-99 & \\ 
 & Si-32     & 1.480E-10 & \\ 
 & P-32      & 3.360E-14 & \\ 
 & P-33      & 1.000E-99 & \\ 
 & P-34      & 1.000E-99 & \\ 
 & P-35      & 1.000E-99 & \\ 
 & S-32      & 6.491E-05 & \\ 
 & S-33      & 2.182E-07 & \\ 
 & S-34      & 1.236E-06 & \\ 
 & S-35      & 1.000E-99 & \\ 
 & S-36      & 1.556E-08 & \\ 
 & S-37      & 1.000E-99 & \\ 
 & S-38      & 1.000E-99 & \\ 
 & Cl-34     & 1.000E-99 & \\ 
 & Cl-35     & 4.039E-07 & \\ 
 & Cl-36     & 3.860E-10 & \\ 
 & Cl-37     & 2.202E-07 & \\ 
 & Cl-38     & 1.000E-99 & \\ 
 & Cl-39     & 1.000E-99 & \\ 
 & Cl-40     & 1.000E-99 & \\ 
 & Ar-35     & 1.000E-99 & \\ 
 & Ar-36     & 9.656E-06 & \\ 
 & Ar-37     & 2.697E-11 & \\ 
 & Ar-38     & 1.011E-06 & \\ 
 & Ar-39     & 6.696E-09 & \\ 
 & Ar-40     & 1.166E-08 & \\ 
 & Ar-41     & 1.000E-99 & \\ 
 & Ar-42     & 1.387E-13 & \\ 
 & Ar-43     & 1.000E-99 & \\ 
 & Ar-44     & 1.000E-99 & \\ 
 & K-38      & 1.000E-99 & \\ 
 & K-39      & 2.404E-07 & \\ 
 & K-40      & 1.207E-09 & \\ 
 & K-41      & 2.086E-08 & \\ 
 & K-42      & 6.069E-18 & \\ 
 & K-43      & 1.000E-99 & \\ 
 & K-44      & 1.000E-99 & \\ 
 & K-45      & 1.000E-99 & \\ 
 & K-46      & 1.000E-99 & \\ 
 & Ca-39     & 1.000E-99 & \\ 
 & Ca-40     & 7.130E-06 & \\ 
 & Ca-41     & 2.379E-09 & \\ 
 & Ca-42     & 3.808E-08 & \\ 
 & Ca-43     & 8.627E-09 & \\ 
 & Ca-44     & 1.097E-07 & \\ 
 & Ca-45     & 9.874E-58 & \\ 
 & Ca-46     & 2.003E-09 & \\ 
 & Ca-47     & 1.000E-99 & \\ 
 & Ca-48     & 1.002E-08 & \\ 
 & Ca-49     & 1.000E-99 & \\ 
 & Sc-43     & 1.000E-99 & \\ 
 & Sc-44     & 1.000E-99 & \\ 
 & Sc-45     & 5.264E-09 & \\ 
 & Sc-46     & 1.000E-99 & \\ 
 & Sc-47     & 1.000E-99 & \\ 
 & Sc-48     & 1.000E-99 & \\ 
 & Sc-49     & 1.000E-99 & \\ 
 & Sc-50     & 1.000E-99 & \\ 
 & Ti-44     & 1.126E-25 & \\ 
 & Ti-45     & 1.000E-99 & \\ 
 & Ti-46     & 2.060E-08 & \\ 
 & Ti-47     & 1.828E-08 & \\ 
 & Ti-48     & 3.164E-07 & \\ 
 & Ti-49     & 1.657E-08 & \\ 
 & Ti-50     & 2.277E-08 & \\ 
 & Ti-51     & 1.000E-99 & \\ 
