H Mass Fractions
H 1 Msun, Z=0.0010 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 1.000E-99 & \\ 
 & H-1       & 6.979E-01 & \\ 
 & H-2       & 6.225E-18 & \\ 
 & He-3      & 3.588E-04 & \\ 
 & He-4      & 2.754E-01 & \\ 
 & Be-7      & 8.238E-16 & \\ 
 & B-8       & 1.000E-99 & \\ 
 & Li-7      & 2.696E-16 & \\ 
 & C-11      & 1.000E-99 & \\ 
 & B-11      & 2.858E-11 & \\ 
 & C-12      & 1.745E-02 & \\ 
 & C-13      & 3.374E-04 & \\ 
 & N-13      & 2.514E-18 & \\ 
 & N-14      & 1.358E-04 & \\ 
 & C-14      & 1.000E-99 & \\ 
 & N-15      & 7.782E-09 & \\ 
 & O-16      & 7.748E-03 & \\ 
 & O-17      & 3.777E-06 & \\ 
 & O-18      & 1.556E-07 & \\ 
 & F-17      & 1.000E-99 & \\ 
 & F-18      & 1.000E-99 & \\ 
 & F-19      & 1.445E-06 & \\ 
 & Ne-20     & 9.071E-05 & \\ 
 & Ne-21     & 3.840E-07 & \\ 
 & Ne-22     & 4.930E-04 & \\ 
 & Na-22     & 1.000E-99 & \\ 
 & Na-23     & 3.731E-06 & \\ 
 & Mg-23     & 1.000E-99 & \\ 
 & Mg-24     & 1.723E-05 & \\ 
 & Mg-25     & 8.891E-06 & \\ 
 & Mg-26     & 2.063E-05 & \\ 
 & Al-26     & 1.096E-13 & \\ 
 & Al-27     & 8.380E-07 & \\ 
 & Si-27     & 1.000E-99 & \\ 
 & Si-28     & 1.512E-05 & \\ 
 & Si-29     & 4.260E-07 & \\ 
 & Si-30     & 4.022E-07 & \\ 
 & P-31      & 1.077E-07 & \\ 
 & S-31      & 1.000E-99 & \\ 
 & Be-8      & 1.000E-99 & \\ 
 & O-14      & 1.000E-99 & \\ 
 & O-15      & 2.578E-24 & \\ 
 & Na-21     & 1.000E-99 & \\ 
 & Al-25     & 1.000E-99 & \\ 
 & P-29      & 1.000E-99 & \\ 
 & P-30      & 1.000E-99 & \\ 
 & Pb-206    & 1.506E-10 & \\ 
 & Pb-207    & 1.952E-10 & \\ 
 & Bi-211    & 1.000E-99 & \\ 
 & Po-210    & 1.000E-99 & \\ 
 & F-20      & 1.000E-99 & \\ 
 & Ne-19     & 1.000E-99 & \\ 
 & Na-24     & 1.000E-99 & \\ 
 & Mg-27     & 1.000E-99 & \\ 
 & Mg-28     & 1.000E-99 & \\ 
