H Mass Fractions
H 1 Msun, Z=0.0060 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 1.000E-99 & \\ 
 & H-1       & 7.043E-01 & \\ 
 & H-2       & 4.007E-06 & \\ 
 & He-3      & 3.354E-04 & \\ 
 & He-4      & 2.761E-01 & \\ 
 & Be-7      & 4.440E-11 & \\ 
 & B-8       & 5.730E-28 & \\ 
 & Li-7      & 2.644E-12 & \\ 
 & C-11      & 1.000E-99 & \\ 
 & B-11      & 1.715E-10 & \\ 
 & C-12      & 9.585E-03 & \\ 
 & C-13      & 1.856E-05 & \\ 
 & N-13      & 1.025E-21 & \\ 
 & N-14      & 4.114E-04 & \\ 
 & C-14      & 1.585E-08 & \\ 
 & N-15      & 1.261E-07 & \\ 
 & O-16      & 8.289E-03 & \\ 
 & O-17      & 8.078E-06 & \\ 
 & O-18      & 9.344E-07 & \\ 
 & F-17      & 1.000E-99 & \\ 
 & F-18      & 1.000E-99 & \\ 
 & F-19      & 5.956E-07 & \\ 
 & Ne-20     & 3.574E-04 & \\ 
 & Ne-21     & 3.953E-07 & \\ 
 & Ne-22     & 2.640E-04 & \\ 
 & Na-22     & 2.434E-19 & \\ 
 & Na-23     & 4.541E-06 & \\ 
 & Mg-23     & 1.000E-99 & \\ 
 & Mg-24     & 9.228E-05 & \\ 
 & Mg-25     & 1.006E-05 & \\ 
 & Mg-26     & 1.806E-05 & \\ 
 & Al-26     & 1.514E-08 & \\ 
 & Al-27     & 4.065E-06 & \\ 
 & Si-27     & 1.000E-99 & \\ 
 & Si-28     & 9.065E-05 & \\ 
 & Si-29     & 2.441E-06 & \\ 
 & Si-30     & 1.929E-06 & \\ 
 & P-31      & 4.852E-07 & \\ 
 & S-31      & 1.000E-99 & \\ 
 & Be-8      & 1.000E-99 & \\ 
 & O-14      & 1.000E-99 & \\ 
 & O-15      & 1.196E-25 & \\ 
 & Na-21     & 1.000E-99 & \\ 
 & Al-25     & 1.000E-99 & \\ 
 & P-29      & 1.000E-99 & \\ 
 & P-30      & 1.000E-99 & \\ 
 & Pb-206    & 4.226E-10 & \\ 
 & Pb-207    & 5.156E-10 & \\ 
 & Bi-211    & 1.000E-99 & \\ 
 & Po-210    & 2.701E-21 & \\ 
 & F-20      & 1.000E-99 & \\ 
 & Ne-19     & 1.000E-99 & \\ 
 & Na-24     & 1.000E-99 & \\ 
 & Mg-27     & 1.000E-99 & \\ 
 & Mg-28     & 1.000E-99 & \\ 
 & Al-28     & 1.000E-99 & \\ 
 & Al-29     & 1.000E-99 & \\ 
 & Si-31     & 1.000E-99 & \\ 
 & Si-32     & 1.841E-12 & \\ 
 & P-32      & 4.180E-16 & \\ 
 & P-33      & 1.000E-99 & \\ 
 & P-34      & 1.000E-99 & \\ 
 & P-35      & 1.000E-99 & \\ 
 & S-32      & 6.524E-05 & \\ 
 & S-33      & 2.181E-07 & \\ 
 & S-34      & 1.183E-06 & \\ 
 & S-35      & 1.000E-99 & \\ 
 & S-36      & 9.485E-09 & \\ 
 & S-37      & 1.000E-99 & \\ 
 & S-38      & 1.000E-99 & \\ 
 & Cl-34     & 1.000E-99 & \\ 
 & Cl-35     & 4.055E-07 & \\ 
 & Cl-36     & 3.807E-10 & \\ 
 & Cl-37     & 2.040E-07 & \\ 
 & Cl-38     & 1.000E-99 & \\ 
 & Cl-39     & 1.000E-99 & \\ 
 & Cl-40     & 1.000E-99 & \\ 
 & Ar-35     & 1.000E-99 & \\ 
 & Ar-36     & 9.722E-06 & \\ 
 & Ar-37     & 1.974E-12 & \\ 
 & Ar-38     & 9.850E-07 & \\ 
 & Ar-39     & 1.448E-09 & \\ 
 & Ar-40     & 3.620E-09 & \\ 
 & Ar-41     & 1.000E-99 & \\ 
 & Ar-42     & 5.865E-17 & \\ 
 & Ar-43     & 1.000E-99 & \\ 
 & Ar-44     & 1.000E-99 & \\ 
 & K-38      & 1.000E-99 & \\ 
 & K-39      & 2.387E-07 & \\ 
 & K-40      & 1.176E-09 & \\ 
 & K-41      & 2.029E-08 & \\ 
 & K-42      & 2.566E-21 & \\ 
 & K-43      & 1.000E-99 & \\ 
 & K-44      & 1.000E-99 & \\ 
 & K-45      & 1.000E-99 & \\ 
 & K-46      & 1.000E-99 & \\ 
 & Ca-39     & 1.000E-99 & \\ 
 & Ca-40     & 7.174E-06 & \\ 
 & Ca-41     & 2.639E-09 & \\ 
 & Ca-42     & 3.663E-08 & \\ 
 & Ca-43     & 8.026E-09 & \\ 
 & Ca-44     & 1.066E-07 & \\ 
 & Ca-45     & 1.000E-99 & \\ 
 & Ca-46     & 3.960E-10 & \\ 
 & Ca-47     & 1.000E-99 & \\ 
 & Ca-48     & 1.003E-08 & \\ 
 & Ca-49     & 1.000E-99 & \\ 
 & Sc-43     & 1.000E-99 & \\ 
 & Sc-44     & 1.000E-99 & \\ 
 & Sc-45     & 4.111E-09 & \\ 
 & Sc-46     & 1.000E-99 & \\ 
 & Sc-47     & 1.000E-99 & \\ 
 & Sc-48     & 1.000E-99 & \\ 
 & Sc-49     & 1.000E-99 & \\ 
 & Sc-50     & 1.000E-99 & \\ 
 & Ti-44     & 7.508E-27 & \\ 
 & Ti-45     & 1.000E-99 & \\ 
 & Ti-46     & 2.026E-08 & \\ 
 & Ti-47     & 1.800E-08 & \\ 
 & Ti-48     & 3.177E-07 & \\ 
 & Ti-49     & 1.583E-08 & \\ 
 & Ti-50     & 1.790E-08 & \\ 
 & Ti-51     & 1.000E-99 & \\ 
 & Ti-52     & 1.000E-99 & \\ 
 & V-47      & 1.000E-99 & \\ 
 & V-48      & 1.000E-99 & \\ 
 & V-49      & 1.331E-20 & \\ 
 & V-50      & 5.984E-11 & \\ 
 & V-51      & 2.477E-08 & \\ 
 & V-52      & 1.000E-99 & \\ 
 & V-53      & 1.000E-99 & \\ 
 & Cr-48     & 1.000E-99 & \\ 
 & Cr-49     & 1.000E-99 & \\ 
 & Cr-50     & 4.871E-08 & \\ 
 & Cr-51     & 8.280E-15 & \\ 
 & Cr-52     & 9.874E-07 & \\ 
 & Cr-53     & 1.142E-07 & \\ 
 & Cr-54     & 3.621E-08 & \\ 
 & Cr-55     & 1.000E-99 & \\ 
 & Cr-56     & 1.000E-99 & \\ 
 & Mn-51     & 1.000E-99 & \\ 
 & Mn-52     & 1.000E-99 & \\ 
 & Mn-53     & 1.893E-20 & \\ 
 & Mn-54     & 5.406E-21 & \\ 
 & Mn-55     & 6.530E-07 & \\ 
 & Mn-56     & 1.000E-99 & \\ 
 & Mn-57     & 1.000E-99 & \\ 
 & Fe-52     & 1.000E-99 & \\ 
 & Fe-53     & 1.000E-99 & \\ 
 & Fe-54     & 4.791E-06 & \\ 
 & Fe-55     & 6.063E-09 & \\ 
 & Fe-56     & 7.856E-05 & \\ 
 & Fe-57     & 2.001E-06 & \\ 
 & Fe-58     & 6.213E-07 & \\ 
 & Fe-59     & 1.000E-99 & \\ 
 & Fe-60     & 1.211E-08 & \\ 
 & Fe-61     & 1.000E-99 & \\ 
 & Co-55     & 1.000E-99 & \\ 
 & Co-56     & 1.000E-99 & \\ 
 & Co-57     & 5.121E-20 & \\ 
 & Co-58     & 1.000E-99 & \\ 
 & Co-59     & 3.378E-07 & \\ 
 & Co-60     & 1.367E-19 & \\ 
 & Co-61     & 1.000E-99 & \\ 
 & Co-62     & 1.000E-99 & \\ 
 & Co-63     & 1.000E-99 & \\ 
 & Ni-56     & 1.000E-99 & \\ 
 & Ni-57     & 1.000E-99 & \\ 
 & Ni-58     & 3.370E-06 & \\ 
 & Ni-59     & 4.302E-09 & \\ 
 & Ni-60     & 1.439E-06 & \\ 
 & Ni-61     & 1.007E-07 & \\ 
 & Ni-62     & 2.813E-07 & \\ 
 & Ni-63     & 5.974E-09 & \\ 
 & Ni-64     & 1.132E-07 & \\ 
 & Ni-65     & 1.000E-99 & \\ 
 & Ni-66     & 1.000E-99 & \\ 
 & Ni-67     & 1.000E-99 & \\ 
 & Ni-68     & 1.000E-99 & \\ 
 & Cu-60     & 1.000E-99 & \\ 
 & Cu-61     & 1.000E-99 & \\ 
 & Cu-62     & 1.000E-99 & \\ 
 & Cu-63     & 8.493E-08 & \\ 
 & Cu-64     & 1.000E-99 & \\ 
 & Cu-65     & 4.102E-08 & \\ 
 & Cu-66     & 1.000E-99 & \\ 
 & Cu-67     & 1.000E-99 & \\ 
 & Cu-68     & 1.000E-99 & \\ 
 & Cu-69     & 1.000E-99 & \\ 
 & Cu-70     & 1.000E-99 & \\ 
 & Cu-71     & 1.000E-99 & \\ 
 & Zn-62     & 1.000E-99 & \\ 
 & Zn-63     & 1.000E-99 & \\ 
 & Zn-64     & 7.807E-08 & \\ 
 & Zn-65     & 3.719E-11 & \\ 
 & Zn-66     & 5.990E-08 & \\ 
 & Zn-67     & 1.015E-08 & \\ 
 & Zn-68     & 4.579E-08 & \\ 
 & Zn-69     & 1.000E-99 & \\ 
 & Zn-70     & 9.432E-10 & \\ 
 & Zn-71     & 1.000E-99 & \\ 
 & Zn-72     & 1.000E-99 & \\ 
 & Zn-73     & 1.000E-99 & \\ 
 & Zn-74     & 1.000E-99 & \\ 
 & Ga-65     & 1.000E-99 & \\ 
 & Ga-66     & 1.000E-99 & \\ 
 & Ga-67     & 1.000E-99 & \\ 
 & Ga-68     & 1.000E-99 & \\ 
 & Ga-69     & 5.145E-09 & \\ 
 & Ga-70     & 1.000E-99 & \\ 
 & Ga-71     & 3.492E-09 & \\ 
 & Ga-72     & 1.000E-99 & \\ 
 & Ga-73     & 1.000E-99 & \\ 
 & Ga-74     & 1.000E-99 & \\ 
 & Ga-75     & 1.000E-99 & \\ 
 & Ge-66     & 1.000E-99 & \\ 
 & Ge-67     & 1.000E-99 & \\ 
 & Ge-68     & 1.000E-99 & \\ 
 & Ge-69     & 1.000E-99 & \\ 
 & Ge-70     & 6.416E-09 & \\ 
 & Ge-71     & 1.000E-99 & \\ 
 & Ge-72     & 7.063E-09 & \\ 
 & Ge-73     & 1.985E-09 & \\ 
 & Ge-74     & 9.215E-09 & \\ 
 & Ge-75     & 1.000E-99 & \\ 
 & Ge-76     & 1.167E-09 & \\ 
 & Ge-77     & 1.000E-99 & \\ 
 & Ge-78     & 1.000E-99 & \\ 
 & As-69     & 1.000E-99 & \\ 
 & As-70     & 1.000E-99 & \\ 
 & As-71     & 1.000E-99 & \\ 
 & As-72     & 1.000E-99 & \\ 
