H Mass Fractions
H 1 Msun, Z=0.0001 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 1.000E-99 & \\ 
 & V-47      & 1.000E-99 & \\ 
 & V-48      & 1.000E-99 & \\ 
 & V-49      & 1.000E-99 & \\ 
 & V-50      & 9.500E-13 & \\ 
 & V-51      & 4.298E-10 & \\ 
 & V-52      & 1.000E-99 & \\ 
 & V-53      & 1.000E-99 & \\ 
 & Cr-48     & 1.000E-99 & \\ 
 & Cr-49     & 1.000E-99 & \\ 
 & Cr-50     & 7.731E-10 & \\ 
 & Cr-51     & 1.000E-99 & \\ 
 & Cr-52     & 1.603E-08 & \\ 
 & Cr-53     & 1.857E-09 & \\ 
 & Cr-54     & 8.975E-10 & \\ 
 & Cr-55     & 1.000E-99 & \\ 
 & Cr-56     & 1.000E-99 & \\ 
 & Mn-51     & 1.000E-99 & \\ 
 & Mn-52     & 1.000E-99 & \\ 
 & Mn-53     & 1.667E-21 & \\ 
 & Mn-54     & 1.000E-99 & \\ 
 & Mn-55     & 1.065E-08 & \\ 
 & Mn-56     & 1.000E-99 & \\ 
 & Mn-57     & 1.000E-99 & \\ 
 & Fe-52     & 1.000E-99 & \\ 
 & Fe-53     & 1.000E-99 & \\ 
 & Fe-54     & 7.617E-08 & \\ 
 & Fe-55     & 1.000E-99 & \\ 
 & Fe-56     & 1.262E-06 & \\ 
 & Fe-57     & 3.566E-08 & \\ 
 & Fe-58     & 2.055E-08 & \\ 
 & Fe-59     & 1.000E-99 & \\ 
 & Fe-60     & 1.507E-09 & \\ 
 & Fe-61     & 1.000E-99 & \\ 
 & Co-55     & 1.000E-99 & \\ 
 & Co-56     & 1.000E-99 & \\ 
 & Co-57     & 1.000E-99 & \\ 
 & Co-58     & 1.000E-99 & \\ 
 & Co-59     & 8.651E-09 & \\ 
 & Co-60     & 1.000E-99 & \\ 
 & Co-61     & 1.000E-99 & \\ 
 & Co-62     & 1.000E-99 & \\ 
 & Co-63     & 1.000E-99 & \\ 
 & Ni-56     & 1.000E-99 & \\ 
 & Ni-57     & 1.000E-99 & \\ 
 & Ni-58     & 5.356E-08 & \\ 
 & Ni-59     & 1.353E-10 & \\ 
 & Ni-60     & 2.569E-08 & \\ 
 & Ni-61     & 3.010E-09 & \\ 
 & Ni-62     & 8.345E-09 & \\ 
 & Ni-63     & 1.000E-99 & \\ 
 & Ni-64     & 8.546E-09 & \\ 
 & Ni-65     & 1.000E-99 & \\ 
