H Mass Fractions
H 1 Msun, Z=0.0010 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 1.000E-99 & \\ 
 & H-1       & 5.301E-26 & \\ 
 & H-2       & 1.000E-99 & \\ 
 & He-3      & 1.000E-99 & \\ 
 & He-4      & 3.489E-01 & \\ 
 & Be-7      & 1.000E-99 & \\ 
 & B-8       & 1.000E-99 & \\ 
 & Li-7      & 5.680E-27 & \\ 
 & C-11      & 1.000E-99 & \\ 
 & B-11      & 2.858E-11 & \\ 
 & C-12      & 4.591E-01 & \\ 
 & C-13      & 2.171E-09 & \\ 
 & N-13      & 1.000E-99 & \\ 
 & N-14      & 7.834E-07 & \\ 
 & C-14      & 1.596E-08 & \\ 
 & N-15      & 6.701E-09 & \\ 
 & O-16      & 1.872E-01 & \\ 
 & O-17      & 1.615E-05 & \\ 
 & O-18      & 1.431E-07 & \\ 
 & F-17      & 1.000E-99 & \\ 
 & F-18      & 1.000E-99 & \\ 
 & F-19      & 8.491E-06 & \\ 
 & Ne-20     & 5.427E-04 & \\ 
 & Ne-21     & 3.154E-06 & \\ 
 & Ne-22     & 3.977E-03 & \\ 
 & Na-22     & 1.000E-99 & \\ 
 & Na-23     & 1.737E-05 & \\ 
 & Mg-23     & 1.000E-99 & \\ 
 & Mg-24     & 3.857E-05 & \\ 
 & Mg-25     & 6.012E-05 & \\ 
 & Mg-26     & 1.228E-04 & \\ 
 & Al-26     & 1.726E-08 & \\ 
 & Al-27     & 1.487E-05 & \\ 
 & Si-27     & 1.000E-99 & \\ 
 & Si-28     & 1.809E-05 & \\ 
 & Si-29     & 1.182E-06 & \\ 
 & Si-30     & 2.667E-06 & \\ 
 & P-31      & 5.468E-07 & \\ 
 & S-31      & 1.000E-99 & \\ 
 & Be-8      & 1.000E-99 & \\ 
 & O-14      & 1.000E-99 & \\ 
 & O-15      & 1.000E-99 & \\ 
 & Na-21     & 1.000E-99 & \\ 
 & Al-25     & 1.000E-99 & \\ 
 & P-29      & 1.000E-99 & \\ 
 & P-30      & 1.000E-99 & \\ 
 & Pb-206    & 1.726E-08 & \\ 
 & Pb-207    & 2.420E-08 & \\ 
 & Bi-211    & 1.000E-99 & \\ 
 & Po-210    & 1.000E-99 & \\ 
 & F-20      & 1.000E-99 & \\ 
 & Ne-19     & 1.000E-99 & \\ 
 & Na-24     & 3.082E-25 & \\ 
 & Mg-27     & 1.000E-99 & \\ 
 & Mg-28     & 1.000E-99 & \\ 
 & Al-28     & 1.000E-99 & \\ 
 & Al-29     & 1.000E-99 & \\ 
 & Si-31     & 1.227E-26 & \\ 
 & Si-32     & 1.000E-99 & \\ 
 & P-32      & 1.746E-26 & \\ 
 & P-33      & 1.087E-26 & \\ 
 & P-34      & 1.000E-99 & \\ 
 & P-35      & 1.000E-99 & \\ 
 & S-32      & 8.386E-06 & \\ 
 & S-33      & 2.171E-07 & \\ 
 & S-34      & 5.324E-07 & \\ 
 & S-35      & 6.976E-26 & \\ 
 & S-36      & 3.826E-08 & \\ 
 & S-37      & 1.000E-99 & \\ 
 & S-38      & 1.000E-99 & \\ 
 & Cl-34     & 1.000E-99 & \\ 
 & Cl-35     & 3.370E-08 & \\ 
 & Cl-36     & 2.993E-09 & \\ 
 & Cl-37     & 5.887E-07 & \\ 
 & Cl-38     & 1.000E-99 & \\ 
 & Cl-39     & 1.000E-99 & \\ 
 & Cl-40     & 1.000E-99 & \\ 
 & Ar-35     & 1.000E-99 & \\ 
 & Ar-36     & 7.785E-07 & \\ 
 & Ar-37     & 4.021E-23 & \\ 
 & Ar-38     & 4.665E-07 & \\ 
 & Ar-39     & 1.156E-21 & \\ 
 & Ar-40     & 1.462E-08 & \\ 
 & Ar-41     & 1.000E-99 & \\ 
 & Ar-42     & 1.000E-99 & \\ 
 & Ar-43     & 1.000E-99 & \\ 
 & Ar-44     & 1.000E-99 & \\ 
 & K-38      & 1.000E-99 & \\ 
 & K-39      & 7.947E-08 & \\ 
 & K-40      & 7.611E-09 & \\ 
