H Mass Fractions
H 1 Msun, Z=0.0100 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 0.000E+00 & \\ 
 & Mn-53     & 1.536E-19 & \\ 
 & Mn-54     & 3.433E-20 & \\ 
 & Mn-55     & 5.522E-06 & \\ 
 & Mn-56     & 0.000E+00 & \\ 
 & Mn-57     & 0.000E+00 & \\ 
 & Fe-52     & 0.000E+00 & \\ 
 & Fe-53     & 0.000E+00 & \\ 
 & Fe-54     & 4.040E-05 & \\ 
 & Fe-55     & 3.124E-08 & \\ 
 & Fe-56     & 6.597E-04 & \\ 
 & Fe-57     & 1.610E-05 & \\ 
 & Fe-58     & 2.634E-06 & \\ 
 & Fe-59     & 0.000E+00 & \\ 
 & Fe-60     & 1.132E-09 & \\ 
 & Fe-61     & 0.000E+00 & \\ 
 & Co-55     & 0.000E+00 & \\ 
 & Co-56     & 1.988E-22 & \\ 
 & Co-57     & 3.874E-19 & \\ 
 & Co-58     & 1.007E-17 & \\ 
 & Co-59     & 2.099E-06 & \\ 
 & Co-60     & 1.739E-14 & \\ 
 & Co-61     & 0.000E+00 & \\ 
 & Co-62     & 0.000E+00 & \\ 
 & Co-63     & 0.000E+00 & \\ 
 & Ni-56     & 0.000E+00 & \\ 
 & Ni-57     & 0.000E+00 & \\ 
 & Ni-58     & 2.842E-05 & \\ 
 & Ni-59     & 2.474E-08 & \\ 
 & Ni-60     & 1.141E-05 & \\ 
 & Ni-61     & 5.377E-07 & \\ 
 & Ni-62     & 1.664E-06 & \\ 
 & Ni-63     & 7.560E-10 & \\ 
 & Ni-64     & 4.347E-07 & \\ 
 & Ni-65     & 0.000E+00 & \\ 
 & Ni-66     & 0.000E+00 & \\ 
 & Ni-67     & 0.000E+00 & \\ 
 & Ni-68     & 0.000E+00 & \\ 
 & Cu-60     & 0.000E+00 & \\ 
 & Cu-61     & 0.000E+00 & \\ 
 & Cu-62     & 0.000E+00 & \\ 
 & Cu-63     & 3.438E-07 & \\ 
 & Cu-64     & 0.000E+00 & \\ 
 & Cu-65     & 1.561E-07 & \\ 
 & Cu-66     & 0.000E+00 & \\ 
 & Cu-67     & 0.000E+00 & \\ 
 & Cu-68     & 0.000E+00 & \\ 
 & Cu-69     & 0.000E+00 & \\ 
 & Cu-70     & 0.000E+00 & \\ 
 & Cu-71     & 0.000E+00 & \\ 
 & Zn-62     & 0.000E+00 & \\ 
 & Zn-63     & 0.000E+00 & \\ 
 & Zn-64     & 5.658E-07 & \\ 
 & Zn-65     & 0.000E+00 & \\ 
 & Zn-66     & 3.358E-07 & \\ 
 & Zn-67     & 5.033E-08 & \\ 
 & Zn-68     & 2.331E-07 & \\ 
 & Zn-69     & 0.000E+00 & \\ 
 & Zn-70     & 7.858E-09 & \\ 
 & Zn-71     & 0.000E+00 & \\ 
 & Zn-72     & 0.000E+00 & \\ 
 & Zn-73     & 0.000E+00 & \\ 
 & Zn-74     & 0.000E+00 & \\ 
 & Ga-65     & 0.000E+00 & \\ 
 & Ga-66     & 0.000E+00 & \\ 
 & Ga-67     & 0.000E+00 & \\ 
 & Ga-68     & 0.000E+00 & \\ 
 & Ga-69     & 2.302E-08 & \\ 
 & Ga-70     & 0.000E+00 & \\ 
 & Ga-71     & 1.573E-08 & \\ 
 & Ga-72     & 0.000E+00 & \\ 
 & Ga-73     & 0.000E+00 & \\ 
 & Ga-74     & 0.000E+00 & \\ 
 & Ga-75     & 0.000E+00 & \\ 
 & Ge-66     & 0.000E+00 & \\ 
 & Ge-67     & 0.000E+00 & \\ 
 & Ge-68     & 0.000E+00 & \\ 
 & Ge-69     & 0.000E+00 & \\ 
 & Ge-70     & 2.617E-08 & \\ 
 & Ge-71     & 0.000E+00 & \\ 
 & Ge-72     & 3.476E-08 & \\ 
 & Ge-73     & 9.827E-09 & \\ 
 & Ge-74     & 4.643E-08 & \\ 
 & Ge-75     & 0.000E+00 & \\ 
 & Ge-76     & 9.782E-09 & \\ 
 & Ge-77     & 0.000E+00 & \\ 
 & Ge-78     & 0.000E+00 & \\ 
 & As-69     & 0.000E+00 & \\ 
 & As-70     & 0.000E+00 & \\ 
 & As-71     & 0.000E+00 & \\ 
 & As-72     & 0.000E+00 & \\ 
 & As-73     & 0.000E+00 & \\ 
 & As-74     & 8.521E-27 & \\ 
 & As-75     & 7.154E-09 & \\ 
 & As-76     & 0.000E+00 & \\ 
 & As-77     & 0.000E+00 & \\ 
 & As-78     & 0.000E+00 & \\ 
 & As-79     & 0.000E+00 & \\ 
 & As-80     & 0.000E+00 & \\ 
 & As-81     & 0.000E+00 & \\ 
 & Se-72     & 0.000E+00 & \\ 
 & Se-73     & 0.000E+00 & \\ 
 & Se-74     & 5.935E-10 & \\ 
 & Se-75     & 0.000E+00 & \\ 
 & Se-76     & 6.575E-09 & \\ 
 & Se-77     & 5.365E-09 & \\ 
 & Se-78     & 1.707E-08 & \\ 
 & Se-79     & 5.287E-11 & \\ 
 & Se-80     & 3.611E-08 & \\ 
 & Se-81     & 0.000E+00 & \\ 
 & Se-82     & 6.507E-09 & \\ 
 & Se-83     & 0.000E+00 & \\ 
 & Se-84     & 0.000E+00 & \\ 
 & Br-74     & 0.000E+00 & \\ 
 & Br-75     & 0.000E+00 & \\ 
 & Br-76     & 0.000E+00 & \\ 
 & Br-77     & 0.000E+00 & \\ 
 & Br-78     & 0.000E+00 & \\ 
 & Br-79     & 6.888E-09 & \\ 
 & Br-80     & 0.000E+00 & \\ 
 & Br-81     & 6.925E-09 & \\ 
 & Br-82     & 0.000E+00 & \\ 
 & Br-83     & 0.000E+00 & \\ 
 & Br-84     & 0.000E+00 & \\ 
 & Br-85     & 0.000E+00 & \\ 
 & Br-86     & 0.000E+00 & \\ 
 & Br-87     & 0.000E+00 & \\ 
 & Kr-76     & 0.000E+00 & \\ 
 & Kr-77     & 0.000E+00 & \\ 
 & Kr-78     & 1.932E-10 & \\ 
 & Kr-79     & 0.000E+00 & \\ 
 & Kr-80     & 1.299E-09 & \\ 
 & Kr-81     & 1.454E-11 & \\ 
 & Kr-82     & 6.753E-09 & \\ 
 & Kr-83     & 6.635E-09 & \\ 
 & Kr-84     & 3.317E-08 & \\ 
 & Kr-85     & 3.526E-17 & \\ 
 & Kr-86     & 1.026E-08 & \\ 
 & Kr-87     & 0.000E+00 & \\ 
 & Kr-88     & 0.000E+00 & \\ 
 & Kr-89     & 0.000E+00 & \\ 
 & Kr-90     & 0.000E+00 & \\ 
 & Rb-79     & 0.000E+00 & \\ 
 & Rb-80     & 0.000E+00 & \\ 
 & Rb-81     & 0.000E+00 & \\ 
