H Mass Fractions
H 3 Msun, Z=0.0001 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 0.000E+00 & \\ 
 & Mn-52     & 1.000E-99 & \\ 
 & Mn-53     & 2.042E-19 & \\ 
 & Mn-54     & 1.001E-20 & \\ 
 & Mn-55     & 1.087E-08 & \\ 
 & Mn-56     & 7.616E-32 & \\ 
 & Mn-57     & 1.000E-99 & \\ 
 & Fe-52     & 1.000E-99 & \\ 
 & Fe-53     & 1.000E-99 & \\ 
 & Fe-54     & 8.022E-08 & \\ 
 & Fe-55     & 1.151E-11 & \\ 
 & Fe-56     & 1.308E-06 & \\ 
 & Fe-57     & 3.137E-08 & \\ 
 & Fe-58     & 6.917E-09 & \\ 
 & Fe-59     & 2.314E-30 & \\ 
 & Fe-60     & 1.628E-09 & \\ 
 & Fe-61     & 1.067E-37 & \\ 
 & Co-55     & 1.000E-99 & \\ 
 & Co-56     & 7.177E-32 & \\ 
 & Co-57     & 5.750E-20 & \\ 
 & Co-58     & 5.273E-26 & \\ 
 & Co-59     & 5.020E-09 & \\ 
 & Co-60     & 2.724E-13 & \\ 
 & Co-61     & 1.241E-35 & \\ 
 & Co-62     & 1.000E-99 & \\ 
 & Co-63     & 1.000E-99 & \\ 
 & Ni-56     & 1.000E-99 & \\ 
 & Ni-57     & 1.000E-99 & \\ 
 & Ni-58     & 5.643E-08 & \\ 
 & Ni-59     & 6.606E-12 & \\ 
 & Ni-60     & 2.316E-08 & \\ 
 & Ni-61     & 1.438E-09 & \\ 
 & Ni-62     & 4.388E-09 & \\ 
 & Ni-63     & 4.092E-10 & \\ 
 & Ni-64     & 3.237E-09 & \\ 
 & Ni-65     & 4.276E-34 & \\ 
 & Ni-66     & 1.000E-99 & \\ 
 & Ni-67     & 1.000E-99 & \\ 
 & Ni-68     & 1.000E-99 & \\ 
 & Cu-60     & 1.000E-99 & \\ 
 & Cu-61     & 1.000E-99 & \\ 
 & Cu-62     & 1.000E-99 & \\ 
 & Cu-63     & 1.160E-09 & \\ 
 & Cu-64     & 5.061E-32 & \\ 
 & Cu-65     & 9.193E-10 & \\ 
 & Cu-66     & 2.518E-36 & \\ 
 & Cu-67     & 1.000E-99 & \\ 
 & Cu-68     & 1.000E-99 & \\ 
 & Cu-69     & 1.000E-99 & \\ 
 & Cu-70     & 1.000E-99 & \\ 
 & Cu-71     & 1.000E-99 & \\ 
 & Zn-62     & 1.000E-99 & \\ 
 & Zn-63     & 1.000E-99 & \\ 
 & Zn-64     & 1.127E-09 & \\ 
 & Zn-65     & 2.651E-13 & \\ 
 & Zn-66     & 1.162E-09 & \\ 
 & Zn-67     & 2.131E-10 & \\ 
 & Zn-68     & 1.332E-09 & \\ 
 & Zn-69     & 7.062E-34 & \\ 
 & Zn-70     & 2.277E-11 & \\ 
 & Zn-71     & 1.000E-99 & \\ 
 & Zn-72     & 1.000E-99 & \\ 
 & Zn-73     & 1.000E-99 & \\ 
 & Zn-74     & 1.000E-99 & \\ 
 & Ga-65     & 1.000E-99 & \\ 
 & Ga-66     & 1.000E-99 & \\ 
 & Ga-67     & 1.000E-99 & \\ 
 & Ga-68     & 1.000E-99 & \\ 
 & Ga-69     & 1.714E-10 & \\ 
 & Ga-70     & 9.783E-36 & \\ 
 & Ga-71     & 1.176E-10 & \\ 
 & Ga-72     & 5.588E-33 & \\ 
 & Ga-73     & 1.000E-99 & \\ 
 & Ga-74     & 1.000E-99 & \\ 
 & Ga-75     & 1.000E-99 & \\ 
 & Ge-66     & 1.000E-99 & \\ 
 & Ge-67     & 1.000E-99 & \\ 
 & Ge-68     & 1.000E-99 & \\ 
 & Ge-69     & 1.000E-99 & \\ 
 & Ge-70     & 2.479E-10 & \\ 
 & Ge-71     & 1.645E-31 & \\ 
 & Ge-72     & 2.904E-10 & \\ 
 & Ge-73     & 8.605E-11 & \\ 
 & Ge-74     & 5.193E-10 & \\ 
 & Ge-75     & 3.159E-34 & \\ 
 & Ge-76     & 3.222E-11 & \\ 
 & Ge-77     & 6.003E-36 & \\ 
 & Ge-78     & 1.000E-99 & \\ 
 & As-69     & 1.000E-99 & \\ 
 & As-70     & 1.000E-99 & \\ 
 & As-71     & 1.000E-99 & \\ 
