H Mass Fractions
H 1 Msun, Z=0.0200 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 1.000E-99 & \\ 
 & Mn-53     & 5.164E-19 & \\ 
 & Mn-54     & 6.634E-20 & \\ 
 & Mn-55     & 1.105E-05 & \\ 
 & Mn-56     & 1.000E-99 & \\ 
 & Mn-57     & 1.000E-99 & \\ 
 & Fe-52     & 1.000E-99 & \\ 
 & Fe-53     & 1.000E-99 & \\ 
 & Fe-54     & 8.089E-05 & \\ 
 & Fe-55     & 5.307E-08 & \\ 
 & Fe-56     & 1.320E-03 & \\ 
 & Fe-57     & 3.198E-05 & \\ 
 & Fe-58     & 4.906E-06 & \\ 
 & Fe-59     & 1.000E-99 & \\ 
 & Fe-60     & 1.179E-09 & \\ 
 & Fe-61     & 1.000E-99 & \\ 
 & Co-55     & 1.000E-99 & \\ 
 & Co-56     & 1.000E-99 & \\ 
 & Co-57     & 1.209E-18 & \\ 
 & Co-58     & 1.000E-99 & \\ 
 & Co-59     & 4.103E-06 & \\ 
 & Co-60     & 8.139E-19 & \\ 
 & Co-61     & 1.000E-99 & \\ 
 & Co-62     & 1.000E-99 & \\ 
 & Co-63     & 1.000E-99 & \\ 
 & Ni-56     & 1.000E-99 & \\ 
 & Ni-57     & 1.000E-99 & \\ 
 & Ni-58     & 5.690E-05 & \\ 
 & Ni-59     & 6.224E-08 & \\ 
 & Ni-60     & 2.280E-05 & \\ 
 & Ni-61     & 1.059E-06 & \\ 
 & Ni-62     & 3.303E-06 & \\ 
 & Ni-63     & 1.790E-09 & \\ 
 & Ni-64     & 8.629E-07 & \\ 
 & Ni-65     & 1.000E-99 & \\ 
 & Ni-66     & 1.000E-99 & \\ 
 & Ni-67     & 1.000E-99 & \\ 
 & Ni-68     & 1.000E-99 & \\ 
 & Cu-60     & 1.000E-99 & \\ 
 & Cu-61     & 1.000E-99 & \\ 
 & Cu-62     & 1.000E-99 & \\ 
 & Cu-63     & 6.767E-07 & \\ 
 & Cu-64     & 1.000E-99 & \\ 
 & Cu-65     & 3.093E-07 & \\ 
 & Cu-66     & 1.000E-99 & \\ 
 & Cu-67     & 1.000E-99 & \\ 
 & Cu-68     & 1.000E-99 & \\ 
 & Cu-69     & 1.000E-99 & \\ 
 & Cu-70     & 1.000E-99 & \\ 
 & Cu-71     & 1.000E-99 & \\ 
 & Zn-62     & 1.000E-99 & \\ 
 & Zn-63     & 1.000E-99 & \\ 
 & Zn-64     & 1.131E-06 & \\ 
 & Zn-65     & 4.157E-11 & \\ 
 & Zn-66     & 6.704E-07 & \\ 
 & Zn-67     & 1.004E-07 & \\ 
 & Zn-68     & 4.651E-07 & \\ 
 & Zn-69     & 1.000E-99 & \\ 
 & Zn-70     & 1.573E-08 & \\ 
 & Zn-71     & 1.000E-99 & \\ 
 & Zn-72     & 1.000E-99 & \\ 
 & Zn-73     & 1.000E-99 & \\ 
 & Zn-74     & 1.000E-99 & \\ 
 & Ga-65     & 1.000E-99 & \\ 
 & Ga-66     & 1.000E-99 & \\ 
 & Ga-67     & 1.000E-99 & \\ 
 & Ga-68     & 1.000E-99 & \\ 
 & Ga-69     & 4.589E-08 & \\ 
 & Ga-70     & 1.000E-99 & \\ 
 & Ga-71     & 3.133E-08 & \\ 
 & Ga-72     & 1.000E-99 & \\ 
 & Ga-73     & 1.000E-99 & \\ 
 & Ga-74     & 1.000E-99 & \\ 
 & Ga-75     & 1.000E-99 & \\ 
 & Ge-66     & 1.000E-99 & \\ 
 & Ge-67     & 1.000E-99 & \\ 
 & Ge-68     & 1.000E-99 & \\ 
 & Ge-69     & 1.000E-99 & \\ 
 & Ge-70     & 5.209E-08 & \\ 
 & Ge-71     & 1.000E-99 & \\ 
 & Ge-72     & 6.932E-08 & \\ 
 & Ge-73     & 1.960E-08 & \\ 
 & Ge-74     & 9.264E-08 & \\ 
 & Ge-75     & 1.000E-99 & \\ 
 & Ge-76     & 1.958E-08 & \\ 
 & Ge-77     & 1.000E-99 & \\ 
 & Ge-78     & 1.000E-99 & \\ 
 & As-69     & 1.000E-99 & \\ 
 & As-70     & 1.000E-99 & \\ 
 & As-71     & 1.000E-99 & \\ 
 & As-72     & 1.000E-99 & \\ 
 & As-73     & 1.000E-99 & \\ 
 & As-74     & 3.573E-26 & \\ 
 & As-75     & 1.429E-08 & \\ 
 & As-76     & 1.000E-99 & \\ 
 & As-77     & 1.000E-99 & \\ 
 & As-78     & 1.000E-99 & \\ 
 & As-79     & 1.000E-99 & \\ 
 & As-80     & 1.000E-99 & \\ 
 & As-81     & 1.000E-99 & \\ 
 & Se-72     & 1.000E-99 & \\ 
 & Se-73     & 1.000E-99 & \\ 
 & Se-74     & 1.188E-09 & \\ 
 & Se-75     & 1.000E-99 & \\ 
 & Se-76     & 1.311E-08 & \\ 
 & Se-77     & 1.071E-08 & \\ 
 & Se-78     & 3.403E-08 & \\ 
 & Se-79     & 7.479E-11 & \\ 
 & Se-80     & 7.219E-08 & \\ 
 & Se-81     & 1.000E-99 & \\ 
 & Se-82     & 1.302E-08 & \\ 
 & Se-83     & 1.000E-99 & \\ 
 & Se-84     & 1.000E-99 & \\ 
 & Br-74     & 1.000E-99 & \\ 
 & Br-75     & 1.000E-99 & \\ 
 & Br-76     & 1.000E-99 & \\ 
 & Br-77     & 1.000E-99 & \\ 
 & Br-78     & 1.000E-99 & \\ 
 & Br-79     & 1.378E-08 & \\ 
 & Br-80     & 1.000E-99 & \\ 
 & Br-81     & 1.385E-08 & \\ 
 & Br-82     & 1.000E-99 & \\ 
 & Br-83     & 1.000E-99 & \\ 
 & Br-84     & 1.000E-99 & \\ 
 & Br-85     & 1.000E-99 & \\ 
 & Br-86     & 1.000E-99 & \\ 
 & Br-87     & 1.000E-99 & \\ 
 & Kr-76     & 1.000E-99 & \\ 
 & Kr-77     & 1.000E-99 & \\ 
 & Kr-78     & 3.867E-10 & \\ 
 & Kr-79     & 1.000E-99 & \\ 
 & Kr-80     & 2.612E-09 & \\ 
 & Kr-81     & 3.324E-11 & \\ 
 & Kr-82     & 1.345E-08 & \\ 
 & Kr-83     & 1.325E-08 & \\ 
 & Kr-84     & 6.623E-08 & \\ 
 & Kr-85     & 2.502E-16 & \\ 
 & Kr-86     & 2.049E-08 & \\ 
 & Kr-87     & 1.000E-99 & \\ 
 & Kr-88     & 1.000E-99 & \\ 
 & Kr-89     & 1.000E-99 & \\ 
 & Kr-90     & 1.000E-99 & \\ 
 & Rb-79     & 1.000E-99 & \\ 
 & Rb-80     & 1.000E-99 & \\ 
 & Rb-81     & 1.000E-99 & \\ 
 & Rb-82     & 1.000E-99 & \\ 
 & Rb-83     & 1.000E-99 & \\ 
 & Rb-84     & 2.843E-28 & \\ 
 & Rb-85     & 1.286E-08 & \\ 
 & Rb-86     & 1.000E-99 & \\ 
 & Rb-87     & 5.002E-09 & \\ 
 & Rb-88     & 1.000E-99 & \\ 
 & Rb-89     & 1.000E-99 & \\ 
 & Rb-90     & 1.000E-99 & \\ 
 & Rb-91     & 1.000E-99 & \\ 
 & Sr-80     & 1.000E-99 & \\ 
 & Sr-81     & 1.000E-99 & \\ 
 & Sr-82     & 1.000E-99 & \\ 
 & Sr-83     & 1.000E-99 & \\ 
 & Sr-84     & 3.199E-10 & \\ 
 & Sr-85     & 1.000E-99 & \\ 
 & Sr-86     & 6.057E-09 & \\ 
 & Sr-87     & 4.620E-09 & \\ 
 & Sr-88     & 5.091E-08 & \\ 
 & Sr-89     & 1.000E-99 & \\ 
 & Sr-90     & 1.927E-15 & \\ 
 & Sr-91     & 1.000E-99 & \\ 
 & Sr-92     & 1.000E-99 & \\ 
 & Sr-93     & 1.000E-99 & \\ 
 & Sr-94     & 1.000E-99 & \\ 
 & Y-85      & 1.000E-99 & \\ 
 & Y-86      & 1.000E-99 & \\ 
 & Y-87      & 1.000E-99 & \\ 
 & Y-88      & 1.000E-99 & \\ 
 & Y-89      & 1.248E-08 & \\ 
 & Y-90      & 4.902E-19 & \\ 
 & Y-91      & 1.000E-99 & \\ 
 & Y-92      & 1.000E-99 & \\ 
 & Y-93      & 1.000E-99 & \\ 
 & Y-94      & 1.000E-99 & \\ 
 & Y-95      & 1.000E-99 & \\ 
 & Y-96      & 1.000E-99 & \\ 
 & Zr-86     & 1.000E-99 & \\ 
 & Zr-87     & 1.000E-99 & \\ 
 & Zr-88     & 1.000E-99 & \\ 
 & Zr-89     & 1.000E-99 & \\ 
 & Zr-90     & 1.555E-08 & \\ 
 & Zr-91     & 3.435E-09 & \\ 
 & Zr-92     & 5.325E-09 & \\ 
 & Zr-93     & 3.850E-11 & \\ 
 & Zr-94     & 5.492E-09 & \\ 
 & Zr-95     & 1.000E-99 & \\ 
 & Zr-96     & 8.911E-10 & \\ 
 & Zr-97     & 1.000E-99 & \\ 
 & Zr-98     & 1.000E-99 & \\ 
 & Nb-89     & 1.000E-99 & \\ 
 & Nb-90     & 1.000E-99 & \\ 
 & Nb-91     & 1.000E-99 & \\ 
 & Nb-92     & 1.000E-99 & \\ 
 & Nb-93     & 1.884E-09 & \\ 
 & Nb-94     & 1.551E-14 & \\ 
 & Nb-95     & 1.000E-99 & \\ 
 & Nb-96     & 1.000E-99 & \\ 
 & Nb-97     & 1.000E-99 & \\ 
 & Nb-98     & 1.000E-99 & \\ 
 & Nb-99     & 1.000E-99 & \\ 
 & Mo-90     & 1.000E-99 & \\ 
 & Mo-91     & 1.000E-99 & \\ 
 & Mo-92     & 1.007E-09 & \\ 
 & Mo-93     & 6.496E-13 & \\ 
 & Mo-94     & 6.491E-10 & \\ 
 & Mo-95     & 1.133E-09 & \\ 
 & Mo-96     & 1.220E-09 & \\ 
 & Mo-97     & 6.960E-10 & \\ 
 & Mo-98     & 1.791E-09 & \\ 
 & Mo-99     & 1.000E-99 & \\ 
 & Mo-100    & 7.106E-10 & \\ 
 & Mo-101    & 1.000E-99 & \\ 
 & Mo-102    & 1.000E-99 & \\ 
 & Tc-93     & 1.000E-99 & \\ 
 & Tc-94     & 1.000E-99 & \\ 
 & Tc-95     & 1.000E-99 & \\ 
 & Tc-96     & 1.000E-99 & \\ 
 & Tc-97     & 1.645E-13 & \\ 
 & Tc-98     & 4.850E-14 & \\ 
 & Tc-99     & 6.862E-12 & \\ 
 & Tc-100    & 1.000E-99 & \\ 
 & Tc-101    & 1.000E-99 & \\ 
 & Tc-102    & 1.000E-99 & \\ 
 & Tc-103    & 1.000E-99 & \\ 
 & Tc-104    & 1.000E-99 & \\ 
 & Tc-105    & 1.000E-99 & \\ 
 & Ru-94     & 1.000E-99 & \\ 
 & Ru-95     & 1.000E-99 & \\ 
 & Ru-96     & 2.902E-10 & \\ 
 & Ru-97     & 1.000E-99 & \\ 
 & Ru-98     & 1.002E-10 & \\ 
 & Ru-99     & 6.886E-10 & \\ 
 & Ru-100    & 7.132E-10 & \\ 
 & Ru-101    & 9.445E-10 & \\ 
 & Ru-102    & 1.793E-09 & \\ 
 & Ru-103    & 1.000E-99 & \\ 
 & Ru-104    & 1.058E-09 & \\ 
 & Ru-105    & 1.000E-99 & \\ 
 & Ru-106    & 1.000E-99 & \\ 
 & Rh-98     & 1.000E-99 & \\ 
 & Rh-99     & 1.000E-99 & \\ 
 & Rh-100    & 1.000E-99 & \\ 
 & Rh-101    & 1.000E-99 & \\ 
 & Rh-102    & 1.000E-99 & \\ 
 & Rh-103    & 1.052E-09 & \\ 
 & Rh-104    & 1.000E-99 & \\ 
 & Rh-105    & 1.000E-99 & \\ 
 & Rh-106    & 1.000E-99 & \\ 
 & Rh-107    & 1.000E-99 & \\ 
 & Rh-108    & 1.000E-99 & \\ 
 & Pd-99     & 1.000E-99 & \\ 
 & Pd-100    & 1.000E-99 & \\ 
 & Pd-101    & 1.000E-99 & \\ 
 & Pd-102    & 4.203E-11 & \\ 
 & Pd-103    & 1.000E-99 & \\ 
 & Pd-104    & 4.904E-10 & \\ 
 & Pd-105    & 9.528E-10 & \\ 
 & Pd-106    & 1.199E-09 & \\ 
 & Pd-107    & 5.791E-12 & \\ 
 & Pd-108    & 1.188E-09 & \\ 
 & Pd-109    & 1.000E-99 & \\ 
 & Pd-110    & 5.224E-10 & \\ 
 & Pd-111    & 1.000E-99 & \\ 
 & Pd-112    & 1.000E-99 & \\ 
 & Ag-101    & 1.000E-99 & \\ 
 & Ag-102    & 1.000E-99 & \\ 
 & Ag-103    & 1.000E-99 & \\ 
 & Ag-104    & 1.000E-99 & \\ 
 & Ag-105    & 1.000E-99 & \\ 
 & Ag-106    & 1.000E-99 & \\ 
 & Ag-107    & 7.766E-10 & \\ 
