H Mass Fractions
H 2 Msun, Z=0.0001 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 1.000E-99 & \\ 
 & V-47      & 1.000E-99 & \\ 
 & V-48      & 1.000E-99 & \\ 
 & V-49      & 1.000E-99 & \\ 
 & V-50      & 9.590E-13 & \\ 
 & V-51      & 4.247E-10 & \\ 
 & V-52      & 1.000E-99 & \\ 
 & V-53      & 1.000E-99 & \\ 
 & Cr-48     & 1.000E-99 & \\ 
 & Cr-49     & 1.000E-99 & \\ 
 & Cr-50     & 7.806E-10 & \\ 
 & Cr-51     & 1.000E-99 & \\ 
 & Cr-52     & 1.608E-08 & \\ 
 & Cr-53     & 1.864E-09 & \\ 
 & Cr-54     & 8.580E-10 & \\ 
 & Cr-55     & 1.000E-99 & \\ 
 & Cr-56     & 1.000E-99 & \\ 
 & Mn-51     & 1.000E-99 & \\ 
 & Mn-52     & 1.000E-99 & \\ 
 & Mn-53     & 3.357E-21 & \\ 
 & Mn-54     & 1.000E-99 & \\ 
 & Mn-55     & 1.065E-08 & \\ 
 & Mn-56     & 1.000E-99 & \\ 
 & Mn-57     & 1.000E-99 & \\ 
 & Fe-52     & 1.000E-99 & \\ 
 & Fe-53     & 1.000E-99 & \\ 
 & Fe-54     & 7.684E-08 & \\ 
 & Fe-55     & 1.000E-99 & \\ 
 & Fe-56     & 1.269E-06 & \\ 
 & Fe-57     & 3.493E-08 & \\ 
 & Fe-58     & 1.954E-08 & \\ 
 & Fe-59     & 1.000E-99 & \\ 
 & Fe-60     & 2.553E-09 & \\ 
 & Fe-61     & 1.000E-99 & \\ 
 & Co-55     & 1.000E-99 & \\ 
 & Co-56     & 1.000E-99 & \\ 
 & Co-57     & 1.000E-99 & \\ 
 & Co-58     & 1.000E-99 & \\ 
 & Co-59     & 8.670E-09 & \\ 
 & Co-60     & 1.000E-99 & \\ 
 & Co-61     & 1.000E-99 & \\ 
 & Co-62     & 1.000E-99 & \\ 
 & Co-63     & 1.000E-99 & \\ 
 & Ni-56     & 1.000E-99 & \\ 
 & Ni-57     & 1.000E-99 & \\ 
 & Ni-58     & 5.404E-08 & \\ 
 & Ni-59     & 9.230E-11 & \\ 
 & Ni-60     & 2.523E-08 & \\ 
 & Ni-61     & 2.838E-09 & \\ 
 & Ni-62     & 8.043E-09 & \\ 
 & Ni-63     & 1.000E-99 & \\ 
 & Ni-64     & 8.410E-09 & \\ 
 & Ni-65     & 1.000E-99 & \\ 
